stage3_rank,symbol_a,symbol_b,Q_beta,Q_alpha,R,half_life_minutes,capital_inr,skipped,skip_reason,error,total_trades,win_rate_pct,total_gross_pnl,total_net_pnl,total_fees_paid,avg_fees_multiple,avg_gross_pnl_per_trade,avg_net_pnl_per_trade,avg_trade_duration_minutes,max_drawdown_pct,sharpe_ratio,calmar_ratio,n_exits_mean_reversion,n_exits_halflife_timeout,n_exits_session_end,n_exits_data_end,lagging_asset,leader_asset,total_bars,live_bars,data_start,data_end,runtime_s,pearson_rho,stage1_rank,Q_beta_s2,Q_alpha_s2,R_s2,SNR_beta_R,half_life_minutes_s2,half_life_hours,adf_pvalue,hurst_exponent,beta_mean,beta_std
21,ADANIENT,ADANIPORTS,1e-12,1.0701975e-06,0.00080793089,7.1956092,10000.0,False,,,460,7.391304347826087,1404.6999999999427,-21853.609334453064,23258.30933445299,0.06043990199713115,3.0536956521737886,-47.50784637924578,7.73695652173913,218.04328174009063,-17.897329956652356,-1.5466977699980216,28,423,9,0,ADANIPORTS,ADANIENT,44250,40500,2025-12-02 09:15:00+05:30,2026-05-26 15:29:00+05:30,50.88,0.549592,40,1e-12,1.0701975e-06,0.00080793089,1.2377296e-09,7.1956092,0.11992682,0.0,0.19259943,1.0261958,1.7108547e-06
22,BANKBARODA,SBIN,1e-12,1.711689e-05,0.010339488,6.7482812,10000.0,False,,,417,2.8776978417266186,-578.1499999999747,-21703.246204886484,21125.096204886497,-0.027425304149897994,-1.3864508393284767,-52.0461539685527,6.858513189448441,216.5153258861649,-19.879440093497244,-1.5468957571178523,25,387,5,0,SBIN,BANKBARODA,44250,40500,2025-12-02 09:15:00+05:30,2026-05-26 15:29:00+05:30,50.254,0.510719,69,1e-12,1.711689e-05,0.010339488,9.6716588e-11,6.7482812,0.11247135,0.0,0.16321362,1.4383203,3.1032513e-07
23,HINDALCO,HINDCOPPER,1e-12,4.7846847e-06,0.0019445832,5.6594622,10000.0,False,,,526,6.653992395437262,-387.2500000000125,-27030.77937229951,26643.529372299527,-0.01446419972800399,-0.7362167300380461,-51.389314396006675,5.891634980988593,269.6260012130351,-17.319111144673528,-1.5471121297769108,30,492,4,0,HINDALCO,HINDCOPPER,44250,40500,2025-12-02 09:15:00+05:30,2026-05-26 15:29:00+05:30,49.443,0.429531,196,1e-12,4.7846847e-06,0.0019445832,5.1424902e-10,5.6594622,0.09432437,0.0,0.13749543,0.56934188,1.1128625e-06
24,EICHERMOT,M&M,1e-12,2.6480128e-06,0.0029769605,9.1723396,10000.0,False,,,340,2.3529411764705883,-860.500000000161,-17803.84124344515,16943.341243445004,-0.05086581230186432,-2.5308823529416498,-52.3642389513093,9.855882352941176,177.5757247845015,-18.393400873332496,-1.5472308324031614,10,324,6,0,EICHERMOT,M&M,44250,40500,2025-12-02 09:15:00+05:30,2026-05-26 15:29:00+05:30,49.791,0.445431,150,1e-12,2.6480128e-06,0.0029769605,3.3591309e-10,9.1723396,0.15287233,0.0,0.21793151,1.0608955,5.4430772e-07
25,EICHERMOT,TVSMOTOR,1e-12,1.6594926e-06,0.0019427108,9.0490568,10000.0,False,,,337,3.857566765578635,-588.00000000011,-17379.41547469011,16791.415474690006,-0.035016764834565624,-1.7448071216620475,-51.570965800267395,9.851632047477745,173.3314670969511,-17.907800055747987,-1.54732929099874,14,319,4,0,EICHERMOT,TVSMOTOR,44250,40500,2025-12-02 09:15:00+05:30,2026-05-26 15:29:00+05:30,49.635,0.460097,120,1e-12,1.6594926e-06,0.0019427108,5.1474464e-10,9.0490568,0.15081761,0.0,0.21738422,1.0416885,1.0964955e-06
26,IREDA,TATAPOWER,1e-12,8.4624342e-06,0.0028469402,6.2152881,10000.0,False,,,508,8.26771653543307,1598.9399999998914,-24213.48188822092,25812.42188822079,0.06186720246168492,3.1475196850391542,-47.66433442563171,6.791338582677166,241.48620972289513,-20.34410108909201,-1.547354792568926,46,456,6,0,IREDA,TATAPOWER,44250,40500,2025-12-02 09:15:00+05:30,2026-05-26 15:29:00+05:30,49.502,0.398259,322,1e-12,8.4624342e-06,0.0028469402,3.5125431e-10,6.2152881,0.10358814,0.0,0.1211719,-1.2752577,1.6788342e-06
27,MOTHERSON,TVSMOTOR,1e-12,1.612116e-07,0.00087306009,24.732736,10000.0,False,,,210,10.952380952380953,268.6999999999989,-10206.277258246993,10474.977258246992,0.025509634145848527,1.2795238095238044,-48.60132027736668,23.833333333333332,101.78594951103001,-19.238052401876352,-1.5474068811391617,18,187,5,0,TVSMOTOR,MOTHERSON,44250,40500,2025-12-02 09:15:00+05:30,2026-05-26 15:29:00+05:30,50.069,0.373303,492,1e-12,1.612116e-07,0.00087306009,1.1453965e-09,24.732736,0.41221227,0.0,0.35161442,-0.256517,1.8215333e-05
28,ADANIENSOL,TATAPOWER,7.5940136e-06,0.00032341401,0.29181551,6.9567369,10000.0,False,,,492,14.227642276422765,943.0999999999665,-23968.572541745012,24911.67254174498,0.037785575687958525,1.9168699186991185,-48.716610857205346,6.849593495934959,239.0278005866801,-16.76204379642761,-1.5474575669556863,25,460,7,0,ADANIENSOL,TATAPOWER,44250,40500,2025-12-02 09:15:00+05:30,2026-05-26 15:29:00+05:30,49.82,0.397042,329,7.5940136e-06,0.00032341401,0.29181551,2.6023338e-05,6.9567369,0.11594561,0.0,0.15366853,-3.7367018,0.20084719
29,CDSL,HDFCAMC,1e-12,5.3196818e-06,0.005258741,9.0333124,10000.0,False,,,358,10.05586592178771,979.0000000000737,-17133.554861953926,18112.554861953995,0.053903363016580844,2.734636871508586,-47.85909179316739,9.76536312849162,170.8608996643592,-18.11730251850565,-1.547496889879577,16,336,6,0,CDSL,HDFCAMC,44250,40500,2025-12-02 09:15:00+05:30,2026-05-26 15:29:00+05:30,49.77,0.380206,433,1e-12,5.3196818e-06,0.005258741,1.9015958e-10,9.0333124,0.15055521,0.0,0.21529483,0.96634531,5.1832376e-07
30,IREDA,MAZDOCK,1e-12,7.5606968e-07,0.0007342134,8.7194063,10000.0,False,,,372,12.903225806451612,1295.6500000000858,-17606.605908770427,18902.25590877049,0.06848078470850372,3.4829301075271135,-47.32958577626455,8.814516129032258,175.54235519638834,-16.337737399027198,-1.5478138082641821,14,351,7,0,IREDA,MAZDOCK,44250,40500,2025-12-02 09:15:00+05:30,2026-05-26 15:29:00+05:30,49.657,0.446122,145,1e-12,7.5606968e-07,0.0007342134,1.3620018e-09,8.7194063,0.14532344,0.0,0.2082596,1.016827,5.4283858e-06
