Pair,Half_Life,1D_Pearson,1D_ADF,Net_PnL
360ONE-LODHA,488.27,0.889039634592008,0.03457957632662655,7221.77
CANFINHOME-RECLTD,319.95,0.6968681331618257,0.1341276792752148,7198.48
BAJAJHLDNG-DLF,440.27,0.895256279960381,0.14090536870014997,7197.39
360ONE-IRFC,543.41,0.8436989901747741,0.08935285456655018,7166.37
EIHOTEL-PIIND,533.44,0.8271955162301246,0.007441778645685452,7149.0
ATUL-TECHNOE,439.67,0.7309958039648382,0.03992081984542164,7138.07
INDIAMART-TBOTEK,288.28,0.8249347895421117,0.03930449989099571,7126.49
BAJAJFINSV-RHIM,580.1,0.9171412683030506,0.008905988321660804,7103.78
JSL-PHOENIXLTD,580.29,0.690638594345583,0.03416020321704444,7097.6
BBTC-UTIAMC,407.12,0.8936289138741154,0.05347920765261733,7093.98
CANFINHOME-INDHOTEL,545.69,0.7978974686952297,0.03138361644247434,7078.23
REDINGTON-SWANCORP,446.69,0.941955974126286,0.03062244133218215,7075.22
BLS-CDSL,547.42,0.9112894281414528,0.00212244186036928,7064.24
IIFL-SBILIFE,469.29,0.8141321470995266,0.14754268575809448,7062.31
CIEINDIA-VTL,585.96,0.8546265251838732,0.04353018904345646,7061.33
NAVINFLUOR-SHYAMMETL,604.53,0.6882389972750832,0.06598342158957264,7058.09
ABLBL-INOXWIND,489.07,0.9311487163231905,0.0018985051874491773,7057.63
HDBFS-ITCHOTELS,500.85,0.927744032644641,0.014552510957850526,7043.64
CARTRADE-MPHASIS,567.02,0.9529360381705616,0.013999318862067291,7038.93
BAJAJHLDNG-SONATSOFTW,578.03,0.8155606329208316,0.1808718099499359,7037.44
360ONE-IRCTC,578.46,0.8152652622364538,0.11691529194829137,7032.37
MOTILALOFS-SUMICHEM,311.41,0.9265770093656578,0.0003494830173808341,7028.95
GAIL-RHIM,522.71,0.8612941083804032,0.1204792451157336,7024.64
IGL-KEC,529.98,0.935585008873424,0.049019191078729964,7013.2
CDSL-COROMANDEL,573.17,0.8247448676467332,0.10313473206250823,7009.08
ITCHOTELS-RHIM,310.3,0.9128865523966911,0.057883502819825655,7001.92
SOBHA-ZEEL,390.64,0.8699693883114648,0.025576671723560554,6971.0
CHOLAHLDNG-MSUMI,517.47,0.8781655719446289,0.04027912837910225,6944.15
ABLBL-AEGISVOPAK,591.15,0.8840464594157805,0.0045434214770045415,6938.54
