symbol_a,symbol_b,pearson_rho,t_stat,p_value,n_obs,rank
ADANIGREEN,TATAPOWER,0.408555,94.0314,0.0,44132,187
HCLTECH,PERSISTENT,0.407658,93.7838,0.0,44132,188
BAJAJ-AUTO,TVSMOTOR,0.407496,93.7393,0.0,44132,189
COFORGE,TATAELXSI,0.407298,93.6846,0.0,44132,190
BDL,BEML,0.40684,93.5584,0.0,44132,191
IRFC,TITAGARH,0.406312,93.4129,0.0,44132,192
INOXWIND,MAZDOCK,0.406178,93.376,0.0,44132,193
OIL,ONGC,0.405883,93.2947,0.0,44132,194
HUDCO,RECLTD,0.405568,93.2082,0.0,44132,195
IRCON,NBCC,0.405538,93.1997,0.0,44132,196
DLF,NBCC,0.405232,93.1158,0.0,44132,197
IRFC,JWL,0.405189,93.1038,0.0,44132,198
CDSL,MCX,0.405099,93.0792,0.0,44132,199
M&M,TVSMOTOR,0.404889,93.0215,0.0,44132,200
BDL,IREDA,0.404747,92.9823,0.0,44132,201
PERSISTENT,WIPRO,0.404656,92.9573,0.0,44132,202
EICHERMOT,MARUTI,0.40464,92.9529,0.0,44132,203
MPHASIS,TCS,0.404231,92.8407,0.0,44132,204
ACC,AMBUJACEM,0.404062,92.7944,0.0,44132,205
DATAPATTNS,HAL,0.403591,92.665,0.0,44132,206
COFORGE,KPITTECH,0.403457,92.6283,0.0,44132,207
LTM,PERSISTENT,0.403417,92.6173,0.0,44132,208
IRCTC,IRFC,0.403046,92.5157,0.0,44132,209
RECLTD,TATAPOWER,0.402556,92.3813,0.0,44132,210
DLF,PHOENIXLTD,0.401544,92.1044,0.0,44132,211
RVNL,SUZLON,0.401507,92.0944,0.0,44132,212
EICHERMOT,M&M,0.401506,92.0939,0.0,44132,213
DLF,IREDA,0.400108,91.7122,0.0,44132,214
ADANIENSOL,ADANIPOWER,0.399859,91.6442,0.0,44132,215
COCHINSHIP,RVNL,0.399791,91.6258,0.0,44132,216
GODREJPROP,PHOENIXLTD,0.399779,91.6225,0.0,44132,217
MOTHERSON,TMPV,0.399679,91.595,0.0,44132,218
ADANIENSOL,ADANIPORTS,0.399064,91.4273,0.0,44132,219
BDL,SOLARINDS,0.398815,91.3596,0.0,44132,220
IREDA,RAILTEL,0.39877,91.3473,0.0,44132,221
OFSS,TATAELXSI,0.398502,91.2742,0.0,44132,222
BEL,RVNL,0.398412,91.2499,0.0,44132,223
JIOFIN,RVNL,0.397853,91.0978,0.0,44132,224
JSWSTEEL,NMDC,0.397646,91.0415,0.0,44132,225
NHPC,TATAPOWER,0.397548,91.0149,0.0,44132,226
HAL,RVNL,0.39745,90.9882,0.0,44132,227
LTM,MPHASIS,0.397112,90.8963,0.0,44132,228
HINDALCO,JSWSTEEL,0.396694,90.7826,0.0,44132,229
LTM,TECHM,0.396614,90.7611,0.0,44132,230
GRSE,ZENTEC,0.396409,90.7054,0.0,44132,231
IREDA,TATAPOWER,0.396259,90.6646,0.0,44132,232
INFY,MPHASIS,0.396218,90.6535,0.0,44132,233
MPHASIS,WIPRO,0.395358,90.4201,0.0,44132,234
HDFCLIFE,SBILIFE,0.395119,90.3555,0.0,44132,235
CANBK,PFC,0.394913,90.2997,0.0,44132,236
HEROMOTOCO,M&M,0.394909,90.2985,0.0,44132,237
CAMS,CDSL,0.39422,90.1119,0.0,44132,238
RITES,RVNL,0.394162,90.0961,0.0,44132,239
KAYNES,PGEL,0.394161,90.096,0.0,44132,240
CDSL,RECLTD,0.393646,89.9567,0.0,44132,241
BANKINDIA,CENTRALBK,0.393329,89.871,0.0,44132,242
BAJAJ-AUTO,M&M,0.392923,89.7612,0.0,44132,243
PERSISTENT,TATAELXSI,0.392855,89.743,0.0,44132,244
JSWENERGY,TATAPOWER,0.392642,89.6855,0.0,44132,245
INDIANB,SBIN,0.39263,89.682,0.0,44132,246
CDSL,MAZDOCK,0.392601,89.6743,0.0,44132,247
GAIL,IOC,0.392019,89.5173,0.0,44132,248
BDL,IRFC,0.391849,89.4714,0.0,44132,249
BANKINDIA,RECLTD,0.391765,89.4486,0.0,44132,250
BHEL,MAZDOCK,0.391084,89.265,0.0,44132,251
HINDZINC,TATASTEEL,0.39092,89.2208,0.0,44132,252
CENTRALBK,MAHABANK,0.390859,89.2046,0.0,44132,253
GODREJPROP,NBCC,0.390338,89.0643,0.0,44132,254
PFC,TATAPOWER,0.390336,89.0635,0.0,44132,255
M&M,TMPV,0.390232,89.0356,0.0,44132,256
HUDCO,RVNL,0.389752,88.9064,0.0,44132,257
CENTRALBK,IOB,0.38967,88.8845,0.0,44132,258
PNB,RECLTD,0.389604,88.8666,0.0,44132,259
BANKINDIA,MAHABANK,0.389549,88.852,0.0,44132,260
ABB,SIEMENS,0.388979,88.6987,0.0,44132,261
IRCON,MAZDOCK,0.388961,88.6938,0.0,44132,262
ABCAPITAL,IREDA,0.388821,88.6562,0.0,44132,263
CDSL,RVNL,0.388454,88.5576,0.0,44132,264
CANBK,IREDA,0.38833,88.5243,0.0,44132,265
HEROMOTOCO,MARUTI,0.388275,88.5096,0.0,44132,266
NBCC,PFC,0.38769,88.3526,0.0,44132,267
CANBK,CENTRALBK,0.387585,88.3244,0.0,44132,268
HCLTECH,MPHASIS,0.387553,88.3159,0.0,44132,269
CENTRALBK,PNB,0.387165,88.212,0.0,44132,270
BDL,SUZLON,0.385908,87.8753,0.0,44132,271
JIOFIN,MAZDOCK,0.385495,87.7649,0.0,44132,272
