symbol_a,symbol_b,pearson_rho
BHARATFORG,MOTHERSON,0.361522
GLENMARK,LAURUSLABS,0.361269
NBCC,TITAGARH,0.360982
HEROMOTOCO,MOTHERSON,0.360873
JIOFIN,LTF,0.360745
INFY,TATAELXSI,0.360739
AUROPHARMA,LUPIN,0.360722
BEL,SOLARINDS,0.360497
LODHA,PHOENIXLTD,0.360464
HINDCOPPER,VEDL,0.360432
CGPOWER,MAZDOCK,0.360231
JIOFIN,RELIANCE,0.360168
HAL,IREDA,0.360031
CDSL,TATAPOWER,0.359978
IRCTC,RVNL,0.359951
HEROMOTOCO,TMPV,0.359804
UNIONBANK,YESBANK,0.359789
CDSL,LTF,0.359747
CHOLAFIN,SHRIRAMFIN,0.359591
COCHINSHIP,IRFC,0.359552
BSE,JIOFIN,0.359357
CDSL,SUZLON,0.359281
BANKBARODA,MAHABANK,0.359164
DLF,PFC,0.359143
CAMS,IREDA,0.359083
GLENMARK,ZYDUSLIFE,0.359061
BDL,ZENTEC,0.358913
ABCAPITAL,CDSL,0.358797
CDSL,HDFCAMC,0.358781
JIOFIN,TMPV,0.358775
BHEL,RVNL,0.358772
BDL,IRCON,0.358649
DIXON,KALYANKJIL,0.358192
ADANIENT,NBCC,0.357965
BANKINDIA,IDBI,0.357964
LTF,RECLTD,0.3579
HUDCO,INOXWIND,0.357764
BEML,IRCON,0.357441
BANKINDIA,LTF,0.357226
CANBK,IRFC,0.357155
IOB,MAHABANK,0.357127
IDFCFIRSTB,PNB,0.356879
BDL,JIOFIN,0.356868
CANBK,LTF,0.356793
HAL,IRFC,0.356724
HCLTECH,TATAELXSI,0.356585
JSWENERGY,NHPC,0.356549
INDHOTEL,JIOFIN,0.356464
BEL,JIOFIN,0.356445
CANBK,IDFCFIRSTB,0.356411
ADANIENSOL,JSWENERGY,0.356162
AUROPHARMA,ZYDUSLIFE,0.356069
GRSE,NBCC,0.35604
JWL,MAZDOCK,0.356011
ABCAPITAL,PFC,0.355919
BANKBARODA,PFC,0.35573
JWL,RITES,0.355529
KPITTECH,TCS,0.35542
IREDA,JSWENERGY,0.35542
DIVISLAB,LAURUSLABS,0.355191
GMRAIRPORT,NBCC,0.355108
JIOFIN,LT,0.355064
EXIDEIND,IREDA,0.355026
GRSE,IRCON,0.354843
DLF,MAZDOCK,0.354766
BHEL,IRFC,0.354557
CGPOWER,IREDA,0.35391
GODREJPROP,IRFC,0.353756
ADANIPOWER,ATGL,0.353592
INDHOTEL,IREDA,0.353571
CANBK,FEDERALBNK,0.353418
BIOCON,LAURUSLABS,0.353273
EXIDEIND,NBCC,0.35311
GRSE,IRFC,0.352736
HINDZINC,JINDALSTEL,0.352664
AMBUJACEM,ULTRACEMCO,0.352639
BANKBARODA,IREDA,0.352542
ADANIPORTS,GMRAIRPORT,0.352505
LODHA,NBCC,0.352478
ABCAPITAL,IRFC,0.352264
ABCAPITAL,PNB,0.351973
