pair,wc_adf_stat,wc_pval,dr_adf_stat,dr_pval,ols_adf_stat,ols_pval
KEI-POLYCAB,-15.3394,0.0,-17.2445,0.0,0.0841,0.96496
ADANIGREEN-TATAPOWER,-8.3241,0.0,-10.5984,0.0,-0.1899,0.939714
HCLTECH-PERSISTENT,-14.8126,0.0,-19.8551,0.0,-1.5241,0.521553
BAJAJ-AUTO-TVSMOTOR,-10.8432,0.0,-14.2393,0.0,-0.2993,0.925606
COFORGE-TATAELXSI,-8.9986,0.0,-9.9016,0.0,-2.0663,0.258283
BDL-BEML,-8.6362,0.0,-8.7967,0.0,-1.823,0.369118
IRFC-TITAGARH,-11.6541,0.0,-13.0549,0.0,-1.3347,0.613129
INOXWIND-MAZDOCK,-8.7711,0.0,-9.7588,0.0,-1.5191,0.52404
OIL-ONGC,-12.4815,0.0,-14.1452,0.0,-0.8371,0.807976
HUDCO-RECLTD,-9.1156,0.0,-9.6128,0.0,-1.8372,0.362155
IRCON-NBCC,-9.9355,0.0,-10.1568,0.0,-1.287,0.635079
DLF-NBCC,-11.496,0.0,-14.0475,0.0,-2.1862,0.211303
IRFC-JWL,-11.4279,0.0,-12.1941,0.0,-1.3404,0.610491
CDSL-MCX,-15.0709,0.0,-17.7943,0.0,-1.0572,0.731848
M&M-TVSMOTOR,-12.8734,0.0,-15.5494,0.0,-2.1968,0.207404
BDL-IREDA,-8.4823,0.0,-9.3429,0.0,-1.344,0.608825
PERSISTENT-WIPRO,-10.5059,0.0,-12.9526,0.0,-1.6661,0.448655
EICHERMOT-MARUTI,-10.4736,0.0,-15.0363,0.0,-2.1972,0.207246
MPHASIS-TCS,-14.4145,0.0,-15.2301,0.0,-1.9433,0.311985
ACC-AMBUJACEM,-18.8689,0.0,-27.1823,0.0,-5.5251,2e-06
DATAPATTNS-HAL,-9.9501,0.0,-11.074,0.0,-1.4691,0.548732
COFORGE-KPITTECH,-11.2475,0.0,-13.6029,0.0,-0.6029,0.870318
LTM-PERSISTENT,-11.1462,0.0,-16.4709,0.0,-1.9578,0.305371
IRCTC-IRFC,-13.5081,0.0,-14.0236,0.0,-1.4572,0.554573
RECLTD-TATAPOWER,-8.6992,0.0,-9.7685,0.0,-1.6903,0.436103
DLF-PHOENIXLTD,-12.1246,0.0,-13.12,0.0,-2.5412,0.105777
RVNL-SUZLON,-8.6287,0.0,-8.8072,0.0,-2.1452,0.226727
EICHERMOT-M&M,-9.0467,0.0,-12.1418,0.0,-1.9865,0.292529
DLF-IREDA,-9.3911,0.0,-10.0382,0.0,-1.4256,0.56995
ADANIENSOL-ADANIPOWER,-9.9523,0.0,-11.0385,0.0,-1.1825,0.681099
COCHINSHIP-RVNL,-11.4438,0.0,-12.7615,0.0,-1.5906,0.488336
