symbol_a,symbol_b,net_profit,gross_profit,total_fees,win_rate,trade_count,max_drawdown,exit_reasons
NBCC,NHPC,-10227.086974255033,9904.353080001745,20131.440054256786,0.3246753246753247,308,10502.383882912492,mr;se
EICHERMOT,TMPV,-10142.725996890304,-6028.287074999601,4114.438921890704,0.19047619047619047,63,10536.85277788454,hl;mr;se
GRASIM,ULTRACEMCO,-1774.8910959440611,-1518.477999999981,256.41309594408,0.0,4,1621.9968714808467,hl
CANBK,IRFC,11267.859607751929,27151.022810001334,15883.163202249392,0.6337448559670782,243,430.5527539853283,mr;se
AMBER,PGEL,-39877.5041427416,-13569.273599997723,26308.23054274388,0.24813895781637718,403,41046.94063895883,mr;se;sl
JWL,MAZDOCK,-15893.632817771339,-2894.989624998895,12998.64319277244,0.32160804020100503,199,18709.512479077395,mr;se
ADANIENT,MAZDOCK,-37725.138309286056,-10726.09289999784,26999.04540928823,0.23317307692307693,416,37640.732412496116,mr;se;sl
ADANIENSOL,JSWENERGY,-53192.99359561275,-18014.09664999718,35178.896945615525,0.20593692022263452,539,53163.96262717177,mr;se;sl
BEL,BEML,-5164.832956495114,428.43040000047404,5593.263356495585,0.3372093023255814,86,5390.101986823986,mr;se
GRSE,IRFC,29995.004744626563,48300.956400001516,18305.951655374924,0.6914893617021277,282,1857.5108091336624,mr;se
EXIDEIND,IREDA,10923.966621789325,38555.241600002264,27631.274978212903,0.5460992907801419,423,1479.784699269963,mr;se
DLF,MAZDOCK,4886.877817778478,12198.442175000564,7311.564357222083,0.6696428571428571,112,542.6684364887647,mr;se
MAZDOCK,RAILTEL,-5963.335837337656,7296.287225001243,13259.623062338906,0.3645320197044335,203,9941.2144129328,mr;se;sl
IREDA,JSWENERGY,-19444.431794731296,4184.184475001894,23628.61626973319,0.3425414364640884,362,20214.115478386062,mr;se;sl
OBEROIRLTY,PHOENIXLTD,10046.248675254858,32311.030850001833,22264.782174746986,0.5847953216374269,342,1048.0239883360073,mr;se
CANBK,LTF,7418.382346046077,27669.64291500158,20251.260568955488,0.4935483870967742,310,1942.169601698039,mr;se
INDHOTEL,IREDA,5214.087744138546,25644.102225001792,20430.014480863232,0.5431309904153354,313,2772.4765472546287,mr;se
AUROPHARMA,ZYDUSLIFE,-10377.297287851214,2859.6725750010637,13236.969862852273,0.270935960591133,203,10509.154353232727,mr;se
BANKINDIA,IDBI,10072.375753894588,27196.141520001423,17123.765766106815,0.6259541984732825,262,942.2060261920037,mr;se
BIOCON,LAURUSLABS,6023.385091374706,32019.159400002132,25995.774308627464,0.5125628140703518,398,2140.1966118721357,mr;se
CANBK,IDFCFIRSTB,-821.5693449542597,-494.76366499998016,326.8056799542795,0.0,5,714.1446321315159,mr;sl
LODHA,NBCC,-1045.7159203189306,326.67924500012634,1372.3951653190566,0.2857142857142857,21,2026.5397085737845,mr;sl
