symbol_a,symbol_b,pearson_rho,stage1_rank,n_obs,Q_beta,Q_alpha,R,log_likelihood_final,em_iterations,em_converged,beta_mean,alpha_mean,spread_mean,spread_std,ou_kappa,ou_mu,ou_sigma,half_life_minutes,half_life_hours,ar1_phi,ar1_c,hurst_exponent,adf_pvalue,tradeable,skipped
BANKBARODA,UNIONBANK,0.5329333603719645,34,27527,1e-12,0.000157006528955645,0.028406891485997007,22678.06778365048,15,False,0.4074049413277698,3.571258135070093,-8.035044057240685e-07,0.0012680255020257772,0.22122899456142145,-8.329660213296992e-07,0.0008434782724730384,3.133166074971704,0.05221943458286173,0.8015331125494173,-1.653161736054011e-07,0.06288183813999612,0.8390022601014853,False,False
ADANIENT,ADANIPORTS,0.5304318931027404,35,27527,1e-12,0.00015146682738519725,0.10766475438164126,4852.853509723046,15,False,1.616741533190032,-4.121761463616114,1.4175916055387442e-06,0.002883144904759025,0.0959650172241079,-9.431466616795389e-07,0.0012628182272875947,7.2229151894094175,0.1203819198234903,0.9084957972176795,-8.630188338379318e-08,0.18056392728395396,0.2176517841111802,False,False
HINDZINC,NATIONALUM,0.5296621477584993,36,27527,1e-12,0.00014544559343273157,0.04300818769298246,17192.677470452672,15,False,0.36631809857299175,4.237405206519956,-5.420858515019756e-06,0.0022928166822698327,0.13930288102032043,-5.049490247195516e-06,0.001210130790049235,4.975828033727704,0.08293046722879507,0.8699644928170673,-6.566130253093409e-07,0.10499477463560986,0.800878322446912,False,False
BANKINDIA,INDIANB,0.5289658710719399,37,27527,1e-12,1.301747638663444e-05,0.00696701605938663,42442.331256440935,15,False,0.6106483418139996,0.9048419761305665,-1.0830758476255228e-06,0.0019138610023131696,0.12060800088039789,-3.620289874377732e-07,0.0009399130247568615,5.747107783067489,0.09578512971779148,0.886381352209325,-4.113324401370705e-08,0.15153434184312586,0.8655841723645409,False,False
HCLTECH,TCS,0.5257685934461046,38,27527,1e-12,0.00031501869964342726,0.32451123623084416,-10241.662307722017,15,False,0.9497744708689888,-0.2267219841283517,7.954156318301248e-06,0.0017865491448499575,0.0899203392882481,1.3863048298834376e-06,0.0007525276471459082,7.7084582425561905,0.12847430404260318,0.9140039925798417,1.1921668043725744e-07,0.2098712029456913,0.48979224683244277,False,False
IRCON,RAILTEL,0.5250220898277165,39,27527,2.942458330412849e-07,2.6894671315678603e-06,4.0631375188522656e-05,106012.87714307512,15,False,0.7415603927123744,0.7302731210062493,-2.305841597375445e-07,0.0006716220264945116,2.953384740306125,-2.1315697816288798e-08,0.0016303620083066483,0.23469586305511247,0.0039115977175852076,0.05216284911217523,-2.0203810287377e-08,-0.00822503385354573,0.37437679689785847,False,False
HINDALCO,NATIONALUM,0.5206130824877278,40,27527,1e-12,1.3434642492402202e-05,0.004090411539477124,49569.487729985216,15,False,0.8026541432770833,2.1052286200430066,2.1900306909643592e-06,0.001704901245084186,0.18507820525391705,4.3920780860536795e-07,0.0010364002686884804,3.745158321634823,0.062419305360580386,0.8310392896720518,7.42088633235445e-08,0.09252686965924402,0.1805079620434893,False,False
DATAPATTNS,GRSE,0.5205539292447271,41,27527,2.4180615060928475e-07,3.520901797670746e-06,4.4933372818010924e-05,103409.83951484013,15,False,0.6911318194898877,2.5728568007640393,-4.100430160151225e-08,0.0008007275080300278,2.4688743695920223,-4.33017465769859e-08,0.0017793325480104274,0.2807543344842155,0.004679238908070258,0.08468012389738443,-3.963494931187359e-08,-0.008780629938858739,0.8692486271761414,False,False
IREDA,RVNL,0.5201343852105098,42,27527,1.8724469124737176e-07,2.465867941072931e-06,2.71609955151879e-05,111420.84687504271,15,False,0.5312518071731914,1.7977310853859798,3.549973803513493e-07,0.0005225721645163471,2.149804169378232,1.3323531175644008e-07,0.0010814928242997121,0.3224234050864353,0.005373723418107255,0.11650697117224801,1.1771246913050703e-07,-0.008976077326368412,0.15879328923305858,False,False
JSWSTEEL,TATASTEEL,0.5192555579901201,43,27527,1e-12,3.498191671802396e-05,0.0068574197423925416,42277.33223436152,15,False,0.533281229804966,4.273502465636187,1.0995592149441407e-06,0.001129070456968274,0.2072259873207273,8.895952604769844e-07,0.0007267488426336182,3.344885405164697,0.055748090086078284,0.812835938614174,1.6650026194045415e-07,0.07707424664020517,0.21440628481944263,False,False
