symbol_a,symbol_b,pearson_rho,stage1_rank,n_obs,Q_beta,Q_alpha,R,log_likelihood_final,em_iterations,em_converged,beta_mean,alpha_mean,ou_kappa,ou_mu,ou_sigma,half_life_minutes,half_life_hours,ar1_phi,ar1_c,hurst_exponent,spread_mean,spread_std,adf_pvalue,tradeable,skipped
HINDALCO,NATIONALUM,0.5206130824877278,40,27527,1e-07,2.377555021564551e-07,2.5659643406325657e-07,142297.06288915413,50,False,0.6608237606651518,2.943887422559767,,,,,,,,,,,0.20662476723070589,False,False
DATAPATTNS,GRSE,0.5205539292447271,41,27527,1e-07,3.480983235770561e-07,7.598711089844987e-07,133031.1368007588,50,False,0.6788831596266393,2.6682509548493605,,,,,,,,,,,0.869181616676671,False,False
IREDA,RVNL,0.5201343852105098,42,27527,1e-07,1.861225709633855e-07,1.9542916419825993e-07,143625.2978107204,50,False,0.47690173101782685,2.1078853147958716,,,,,,,,,,,0.2029165613165212,False,False
JSWSTEEL,TATASTEEL,0.5192555579901201,43,27527,1e-07,1.3108515879449936e-07,1.051344642445988e-07,147133.56273959903,50,False,0.5108677256145925,4.3910369888555065,,,,,,,,,,,0.2018710294770688,False,False
IRCON,IRFC,0.5192069147185588,44,27527,1e-07,1.8415652427470286e-07,2.018444758947459e-07,144767.02627461636,50,False,0.7606400825932501,1.4306102851196414,,,,,,,,,,,0.34297784808427423,False,False
INDIANB,UNIONBANK,0.5182389585985556,45,27527,1e-07,1.7669985516678597e-07,1.6057360992871792e-07,145754.4993411403,50,False,0.6956542490645037,3.187505531651518,,,,,,,,,,,0.03979188577870289,False,False
BSE,CDSL,0.5170386436157088,46,27527,1e-07,2.6758228922706e-07,3.8455675690820157e-07,136888.61019565366,50,False,0.1633784052498547,6.764830017825503,,,,,,,,,,,0.625855291834604,False,False
HCLTECH,INFY,0.5147451028025671,47,27527,1e-07,2.0494488786356917e-07,2.5722258056771876e-07,138982.63827252312,50,False,0.49456161162186646,3.723485194057451,,,,,,,,,,,0.4613430741203466,False,False
NBCC,RVNL,0.51143815131968,48,27527,1e-07,2.401433684827006e-07,2.8765259703536374e-07,141951.81489937444,50,False,0.7763583372585076,0.12091454607471888,,,,,,,,,,,0.2503964508440853,False,False
COFORGE,PERSISTENT,0.5107200689117879,49,27527,1e-07,3.315851965002829e-07,6.410192786865958e-07,133035.2909569869,50,False,0.3107271467566022,4.576823657403201,,,,,,,,,,,0.5594643270442436,False,False
CHENNPETRO,MRPL,0.5105018132920021,50,27527,1e-07,6.313030747927652e-07,2.2551330467459404e-06,132964.38025569145,50,False,0.25553428283423074,5.464803970553392,,,,,,,,,,,0.409154742378449,False,False
TCS,WIPRO,0.5093176230410128,51,27527,1e-07,1.3149898892570972e-07,1.0787622627810963e-07,146874.21498797854,50,False,0.3447320740832917,6.085443223051158,,,,,,,,,,,0.7248462788504064,False,False
DLF,PRESTIGE,0.5057851997209861,52,27527,1e-07,2.744870544967632e-07,4.166213384523807e-07,137419.62735603956,50,False,0.7119862932835105,1.248364395643395,,,,,,,,,,,0.17159950784091388,False,False
NMDC,TATASTEEL,0.5052796974587704,53,27527,1e-07,1.6198290452005403e-07,1.3789602318309828e-07,145266.02250810375,50,False,0.9510767314529227,-0.6082193224328748,,,,,,,,,,,0.5979239367631176,False,False
CANBK,INDIANB,0.5036951498492792,54,27527,1e-07,2.2869350344915232e-07,2.8242448847969507e-07,139585.50966174726,50,False,0.8684630791859217,-0.8993398903307485,,,,,,,,,,,0.7853737109257428,False,False
INFY,WIPRO,0.5017377637905855,55,27527,1e-07,1.9603481617805238e-07,1.7513306384509322e-07,144400.85151800083,50,False,1.2422572806313918,0.5489518621486449,,,,,,,,,,,0.4366767047810455,False,False
IREDA,NBCC,0.4994554830038932,56,27527,1e-07,1.725522095285983e-07,1.4663324413805028e-07,147904.18878812733,50,False,0.4540082383711433,2.7676682508957717,,,,,,,,,,,0.16321155946345733,False,False
ADANIENSOL,ADANIENT,0.494596789181081,57,27527,1e-07,2.4293171266700714e-07,3.670299157167969e-07,136323.49042688977,50,False,0.7359236464405525,1.2594451374696354,,,,,,,,,,,0.7902891053544572,False,False
