pair,lagger_asset,ols_gross_pnl,ols_net_pnl,ols_trades,gross_win_rate,net_win_rate,mean_rev_exits,eod_exits,avg_price_captured,avg_fee_drag,spread_vol,mean_abs_dev,zero_crossings,half_life,kalman_q,adf_stat,adf_pval
GODREJCP-IOC,GODREJCP,409.35,-65.28,9,0.4444,0.4444,0,9,0.8889,52.7368,0.029619,0.025609,253,833.27,1.46e-06,,
AEGISVOPAK-EXIDEIND,EXIDEIND,253.45,-65.28,6,0.5,0.3333,0,6,0.1667,53.1213,0.043104,0.035111,270,656.36,3.92e-06,,
ETERNAL-HBLENGINE,HBLENGINE,566.5,-65.29,12,0.5833,0.5833,0,12,1.0875,52.6494,0.031262,0.024076,417,605.34,2.24e-06,,
ABBOTINDIA-FINCABLES,ABBOTINDIA,130.0,-65.34,7,0.7143,0.7143,0,7,18.5714,27.9054,0.022266,0.016926,516,708.16,9.7e-07,,
GALLANTT-HDFCLIFE,HDFCLIFE,357.15,-65.53,8,0.75,0.75,0,8,0.6812,52.8352,0.114932,0.081917,272,4365.21,4.19e-06,,
ACUTAAS-GODIGIT,ACUTAAS,605.9,-65.6,13,0.6154,0.6154,1,12,1.3,51.6535,0.047638,0.053143,185,607.61,5.17e-06,,
AMBER-CEATLTD,CEATLTD,337.7,-65.61,8,0.5,0.5,0,8,3.6375,50.4133,0.091004,0.073999,152,2930.87,3.92e-06,,
INDGN-TATASTEEL,TATASTEEL,517.7,-65.72,11,0.3636,0.3636,1,10,0.1745,53.0378,0.02833,0.021465,549,557.62,1.99e-06,,
MEDANTA-PIIND,MEDANTA,673.9,-65.74,14,0.5,0.5,1,13,1.4429,52.8316,0.038196,0.0329,265,565.99,3.57e-06,,
CUB-GRAVITA,CUB,622.93,-65.75,13,0.3846,0.3846,1,12,0.6569,52.9751,0.037143,0.03151,249,715.04,2.67e-06,,
360ONE-HEROMOTOCO,HEROMOTOCO,191.0,-65.81,5,0.6,0.6,0,5,5.1,51.3612,0.036969,0.030892,348,1131.3,1.67e-06,,
IKS-INDUSTOWER,IKS,404.9,-65.83,9,0.6667,0.6667,0,9,1.2889,52.3034,0.064562,0.048578,295,2017.73,2.86e-06,,
ADANIGREEN-SAILIFE,SAILIFE,357.95,-65.86,8,0.5,0.5,0,8,0.9813,52.9763,0.080648,0.057217,329,1971.92,4.57e-06,,
CGCL-LICI,CGCL,254.73,-65.86,6,0.5,0.5,0,6,0.13,53.4324,0.037492,0.029702,280,837.74,2.32e-06,,
TIMKEN-UNOMINDA,TIMKEN,399.6,-65.96,9,0.4444,0.4444,1,8,2.9,51.7292,0.030129,0.023177,457,571.6,2.2e-06,,
PAYTM-TATAINVEST,TATAINVEST,409.75,-65.96,9,0.4444,0.4444,0,9,1.0667,52.8563,0.038519,0.031533,306,928.67,2.21e-06,,
ABCAPITAL-KEC,KEC,679.0,-65.97,14,0.5714,0.5714,1,13,0.3964,53.2122,0.025953,0.021609,438,511.5,1.82e-06,,
ECLERX-KPITTECH,ECLERX,353.75,-66.03,8,0.75,0.75,0,8,0.9688,52.472,0.048761,0.040533,222,1071.65,3.07e-06,,
IEX-TATATECH,TATATECH,463.6,-66.06,10,0.7,0.7,0,10,0.715,52.9655,0.030498,0.02496,332,552.47,2.33e-06,,
ICICIPRULI-ULTRACEMCO,ICICIPRULI,305.65,-66.06,7,0.5714,0.5714,0,7,-0.1786,53.1009,0.031102,0.026638,299,991.35,1.35e-06,,
PPLPHARMA-UNOMINDA,UNOMINDA,568.5,-66.08,12,0.5833,0.5833,1,11,1.5333,52.882,0.037722,0.029197,367,889.12,2.22e-06,,
EICHERMOT-RKFORGE,RKFORGE,252.7,-66.11,6,0.5,0.5,0,6,0.475,53.1356,0.043595,0.033518,275,2270.63,1.16e-06,,
PAGEIND-SAREGAMA,PAGEIND,335.0,-66.12,11,0.5455,0.5455,0,11,30.4545,36.4658,0.04742,0.035634,173,1853.2,1.68e-06,,
GRAPHITE-NETWEB,NETWEB,554.0,-66.15,12,0.1667,0.1667,0,12,1.975,51.6791,0.051374,0.038754,316,1235.22,2.96e-06,,
JSWINFRA-PIIND,JSWINFRA,466.35,-66.25,10,0.5,0.5,0,10,0.222,53.2596,0.025058,0.020937,356,516.49,1.68e-06,,
KOTAKBANK-MAHABANK,MAHABANK,467.01,-66.26,10,0.5,0.5,0,10,0.065,53.3271,0.024632,0.021936,309,931.43,9e-07,,
CGPOWER-ENRIN,ENRIN,549.0,-66.27,12,0.5833,0.5833,1,11,4.0917,51.2724,0.029555,0.02412,401,592.5,2.04e-06,,
COCHINSHIP-VBL,COCHINSHIP,664.6,-66.33,14,0.5,0.5,3,11,1.3071,52.2095,0.036606,0.030152,336,896.45,2.07e-06,,
FORTIS-SBICARD,FORTIS,410.45,-66.4,9,0.4444,0.4444,1,8,0.9722,52.9835,0.034467,0.033122,200,1122.45,1.47e-06,,
ENRIN-IPCALAB,IPCALAB,455.2,-66.46,10,0.6,0.6,0,10,1.57,52.1663,0.075842,0.064573,129,2045.68,3.9e-06,,
SIGNATURE-SUMICHEM,SUMICHEM,466.1,-66.48,10,0.4,0.4,2,8,-0.0,53.2585,0.06277,0.049511,256,750.42,7.27e-06,,
RKFORGE-SUNDARMFIN,SUNDARMFIN,496.3,-66.52,11,0.5455,0.5455,0,11,1.4909,51.1655,0.045854,0.035853,275,779.7,3.74e-06,,
SAMMAANCAP-WAAREEENER,WAAREEENER,294.8,-66.6,7,0.4286,0.4286,0,7,3.9,51.6288,0.042097,0.033616,285,1576.23,1.56e-06,,
ABSLAMC-ITC,ITC,466.75,-66.62,10,0.6,0.4,0,10,0.255,53.3369,0.046874,0.040975,229,1074.22,2.83e-06,,
BANKBARODA-PGEL,BANKBARODA,413.4,-66.74,9,0.5556,0.5556,1,8,0.3356,53.3493,0.030504,0.025172,224,1120.14,1.15e-06,,
GODFRYPHLP-GRAVITA,GODFRYPHLP,349.5,-66.74,8,0.625,0.625,0,8,4.5,52.0301,0.065082,0.043855,384,1796.98,3.27e-06,,
NH-SARDAEN,NH,402.5,-66.79,9,0.5556,0.5556,0,9,1.4333,52.1435,0.033208,0.027057,359,992.96,1.54e-06,,
CHALET-GODREJIND,GODREJIND,512.65,-66.8,11,0.4545,0.4545,0,11,0.9091,52.6772,0.027203,0.021955,578,491.82,2.08e-06,,
NESTLEIND-ONGC,NESTLEIND,301.7,-66.82,7,0.8571,0.8571,0,7,1.2571,52.6461,0.045297,0.033273,229,2755.16,1.03e-06,,
BATAINDIA-CCL,BATAINDIA,409.4,-66.89,9,0.4444,0.4444,0,9,1.2722,52.9216,0.05568,0.049627,191,1341.68,3.2e-06,,
JSWINFRA-NIACL,NIACL,413.4,-66.9,9,0.5556,0.5556,0,9,0.11,53.3665,0.0257,0.021359,420,573.87,1.59e-06,,
AEGISLOG-PHOENIXLTD,PHOENIXLTD,671.0,-67.04,14,0.6429,0.6429,0,14,2.2214,52.7174,0.035783,0.028685,325,630.22,2.81e-06,,
NSLNISP-TATAELXSI,TATAELXSI,486.3,-67.06,11,0.5455,0.5455,1,10,4.2636,50.3052,0.044706,0.03473,332,1079.92,2.56e-06,,
ASHOKLEY-IOB,ASHOKLEY,358.81,-67.13,8,0.5,0.5,0,8,0.5213,53.2431,0.053173,0.040487,432,1431.97,2.74e-06,,
JSWENERGY-TATACHEM,TATACHEM,516.1,-67.15,11,0.6364,0.6364,0,11,1.0636,53.0228,0.038328,0.030908,318,1006.95,2.02e-06,,
ADANIPORTS-CANBK,CANBK,358.02,-67.2,8,0.5,0.5,0,8,0.1488,53.1527,0.046679,0.038642,223,1932.7,1.56e-06,,
BSE-SHRIRAMFIN,SHRIRAMFIN,250.5,-67.23,6,0.3333,0.3333,0,6,0.5833,52.9544,0.056019,0.05102,173,2107.64,2.06e-06,,
BOSCHLTD-M&MFIN,M&MFIN,252.25,-67.37,6,0.6667,0.6667,0,6,0.3,53.2697,0.057027,0.041651,337,3374.1,1.34e-06,,
LODHA-UCOBANK,UCOBANK,252.54,-67.39,6,0.3333,0.3333,0,6,0.03,53.3215,0.052831,0.043003,275,1202.83,3.22e-06,,
LICI-MRPL,LICI,409.8,-67.48,9,0.5556,0.5556,0,9,0.8278,53.0315,0.038878,0.030381,242,2804.79,7.5e-07,,
ABDL-ZENTEC,ABDL,304.7,-67.58,7,0.5714,0.4286,0,7,0.6714,53.1825,0.0713,0.059206,354,1063.38,6.62e-06,,
