pair,lagger_asset,ols_gross_pnl,ols_net_pnl,ols_trades,gross_win_rate,net_win_rate,mean_rev_exits,eod_exits,avg_price_captured,avg_fee_drag,spread_vol,mean_abs_dev,zero_crossings,half_life,kalman_q,adf_stat,adf_pval
TATACHEM-TIMKEN,TIMKEN,2320.2,1856.73,9,0.5556,0.5556,0,9,18.0444,51.4962,0.053554,0.038267,263,1559.69,2.55e-06,-2.6094,0.091062
ACMESOLAR-COCHINSHIP,COCHINSHIP,2591.5,1856.72,14,0.7143,0.7143,0,14,5.4929,52.484,0.046816,0.040655,148,1011.12,3e-06,-3.3627,0.012298
GRAPHITE-LAURUSLABS,GRAPHITE,2332.55,1856.67,9,0.6667,0.6667,0,9,3.3944,52.8758,0.04175,0.034508,354,733.12,3.29e-06,-3.8999,0.002036
AADHARHFC-PFIZER,PFIZER,2465.1,1856.61,12,0.5833,0.5,1,11,20.4583,50.7078,0.028914,0.023487,248,654.21,1.77e-06,-4.0711,0.001081
AAVAS-SBIN,AAVAS,2436.6,1856.55,11,0.6364,0.6364,0,11,5.7727,52.7322,0.042084,0.031022,431,1253.66,1.96e-06,-2.9983,0.035051
ASAHIINDIA-HONASA,HONASA,2282.8,1856.48,8,0.5,0.375,0,8,1.725,53.29,0.040378,0.030489,282,989.93,2.28e-06,-3.3221,0.013917
KAYNES-TEGA,TEGA,2275.5,1856.46,8,0.625,0.625,0,8,9.4875,52.3796,0.073352,0.058452,142,1745.85,4.27e-06,-2.6059,0.09179
ADANIENT-ITI,ITI,2495.37,1856.41,12,0.6667,0.6667,1,11,1.3,53.247,0.053216,0.046113,131,1734.71,2.26e-06,-2.2607,0.184959
FLUOROCHEM-MRPL,MRPL,2386.12,1856.39,10,0.5,0.5,1,9,0.999,52.9731,0.047249,0.037253,222,1174.43,2.63e-06,-3.1173,0.025297
HDBFS-ZFCVINDIA,HDBFS,2174.3,1856.37,6,0.5,0.5,0,6,5.125,52.9886,0.037243,0.025755,288,1141.87,1.68e-06,-3.1302,0.0244
NAM-INDIA-PRESTIGE,NAM-INDIA,2594.7,1856.24,14,0.5,0.5,0,14,3.7464,52.7474,0.03356,0.030375,345,674.08,2.31e-06,-4.2091,0.000636
HUDCO-RVNL,HUDCO,2443.11,1856.21,11,0.6364,0.5455,0,11,0.8491,53.3546,0.038765,0.028188,370,1435.02,1.45e-06,-2.8019,0.058002
FEDERALBNK-NETWEB,NETWEB,2162.0,1856.21,6,0.5,0.5,0,6,28.85,50.9654,0.033068,0.025983,324,1093.34,1.39e-06,-3.2603,0.016747
BALRAMCHIN-TATATECH,BALRAMCHIN,2335.35,1856.21,9,0.5556,0.5556,1,8,2.1,53.2373,0.033835,0.027028,363,732.97,2.16e-06,-3.9316,0.001815
GLENMARK-SAILIFE,SAILIFE,2383.6,1855.92,10,0.5,0.5,0,10,4.595,52.768,0.023075,0.017981,504,554.04,1.33e-06,-4.6287,0.000114
LTFOODS-SOBHA,LTFOODS,2546.5,1855.9,13,0.5385,0.4615,1,12,1.7308,53.1231,0.042344,0.032417,334,746.08,3.33e-06,-3.7616,0.003325
GLAXO-MGL,GLAXO,2484.8,1855.72,12,0.6667,0.6667,1,11,9.925,52.4232,0.027558,0.022989,242,768.39,1.37e-06,-3.7446,0.003528
ARE&M-POONAWALLA,POONAWALLA,2384.05,1855.69,10,0.8,0.8,0,10,2.055,52.8365,0.039386,0.02853,405,975.04,2.2e-06,-3.3384,0.013248
INDUSTOWER-ITC,INDUSTOWER,2387.1,1855.69,10,0.5,0.5,0,10,2.13,53.1413,0.031642,0.02507,352,1013.41,1.37e-06,-3.4997,0.007995
BELRISE-GROWW,BELRISE,2335.04,1855.65,9,0.6667,0.6667,0,9,1.0589,53.2653,0.044724,0.036614,342,987.69,2.81e-06,-3.556,0.006661
BALRAMCHIN-GLAXO,GLAXO,2375.2,1855.42,10,0.5,0.5,2,8,11.27,51.9781,0.031117,0.025138,482,606.65,2.21e-06,-4.2598,0.000521
BELRISE-HEG,HEG,2439.05,1855.36,11,0.5455,0.5455,0,11,2.6727,53.0628,0.040011,0.032928,406,972.17,2.28e-06,-3.514,0.007634
BAJAJHLDNG-NMDC,BAJAJHLDNG,2374.0,1855.33,11,0.6364,0.6364,1,10,51.8182,47.1517,0.037091,0.029476,327,1521.74,1.25e-06,-2.6357,0.085839
JIOFIN-SCI,SCI,2390.42,1855.03,10,0.6,0.6,1,9,1.403,53.539,0.035461,0.029831,190,1515.23,1.15e-06,-2.8045,0.057627
HINDPETRO-KEI,KEI,2351.5,1854.95,10,0.5,0.5,0,10,27.39,49.6548,0.039572,0.03357,316,865.21,2.51e-06,-3.7252,0.003773
PINELABS-TTML,TTML,2281.6,1854.62,8,0.875,0.75,0,8,0.2312,53.3723,0.067634,0.054024,150,1570.97,4.03e-06,-2.2659,0.183195
CARTRADE-HUDCO,HUDCO,2441.45,1854.46,11,0.6364,0.5455,0,11,0.8118,53.3625,0.071126,0.054371,264,1824.6,3.84e-06,-2.5961,0.093801
DATAPATTNS-HINDCOPPER,HINDCOPPER,2225.3,1854.22,7,0.4286,0.4286,1,6,3.6,53.011,0.071317,0.058606,285,1808.52,3.9e-06,-2.7144,0.071573
CUB-MAHABANK,CUB,2330.39,1854.11,9,0.6667,0.6667,0,9,1.5022,52.9205,0.037987,0.031431,416,852.26,2.35e-06,-3.87,0.002267
CHOLAFIN-MEDANTA,MEDANTA,2487.1,1853.84,12,0.5,0.5,2,10,4.1375,52.7719,0.027744,0.022247,479,488.61,2.18e-06,-4.7891,5.7e-05
CRAFTSMAN-GRASIM,CRAFTSMAN,2442.5,1853.82,12,0.5833,0.5,2,10,29.3333,49.0566,0.037727,0.028863,543,686.7,2.87e-06,-3.9717,0.001566
NHPC-SUMICHEM,SUMICHEM,2549.15,1853.77,13,0.6923,0.6923,1,12,1.4923,53.4906,0.029564,0.023758,425,1020.92,1.19e-06,-3.2895,0.015354
CANFINHOME-MANAPPURAM,CANFINHOME,2382.5,1853.75,10,0.6,0.6,1,9,4.405,52.8746,0.026644,0.021894,534,550.45,1.79e-06,-4.4908,0.000204
ADANIGREEN-SARDAEN,SARDAEN,2331.6,1853.68,9,0.6667,0.6667,0,9,2.7889,53.1027,0.064126,0.05127,207,1217.04,4.68e-06,-3.0109,0.033888
CONCORDBIO-EIHOTEL,CONCORDBIO,2220.9,1853.6,7,0.5714,0.5714,0,7,9.4429,52.4719,0.046655,0.036903,417,928.52,3.25e-06,-3.3875,0.011392
INDIANB-TMCV,INDIANB,2435.55,1853.55,11,0.4545,0.3636,0,11,4.3227,52.9093,0.033603,0.026784,472,781.96,2e-06,-3.9381,0.001771
DEVYANI-NUVOCO,DEVYANI,2385.26,1853.51,10,0.6,0.5,0,10,0.51,53.1754,0.065497,0.050575,376,1227.69,4.84e-06,-2.887,0.046876
BIKAJI-TRIDENT,BIKAJI,2541.0,1853.45,13,0.5385,0.5385,2,11,2.3538,52.8887,0.02656,0.021984,359,616.01,1.59e-06,-3.9548,0.001667
BSOFT-POLYCAB,POLYCAB,2352.5,1853.27,10,0.8,0.7,1,9,35.65,49.9235,0.041299,0.036031,371,1088.95,2.17e-06,-3.3264,0.013737
HBLENGINE-TBOTEK,HBLENGINE,2381.35,1853.23,10,0.8,0.7,0,10,3.735,52.8124,0.053298,0.039273,446,1017.04,3.87e-06,-3.6094,0.005584
BSOFT-CCL,BSOFT,2331.9,1853.18,9,0.5556,0.5556,0,9,1.6889,53.1913,0.053298,0.046514,259,1292.17,3.05e-06,-3.123,0.024896
CRAFTSMAN-FORTIS,CRAFTSMAN,2542.5,1853.11,14,0.5714,0.5714,1,13,27.8929,49.2419,0.037147,0.02916,492,716.37,2.67e-06,-3.8992,0.002041
CIEINDIA-PWL,CIEINDIA,2385.45,1853.03,10,0.8,0.8,1,9,2.47,53.2419,0.033607,0.025322,426,660.6,2.37e-06,-4.1764,0.000722
AXISBANK-URBANCO,URBANCO,2386.28,1853.03,10,0.6,0.6,0,10,0.565,53.3252,0.039621,0.031238,263,1523.14,1.43e-06,-2.7726,0.062297
ABCAPITAL-BANKBARODA,BANKBARODA,2492.32,1852.99,12,0.75,0.6667,2,10,1.1333,53.2779,0.0323,0.025295,369,1033.5,1.4e-06,-3.3981,0.011024
KIRLOSENG-KPITTECH,KIRLOSENG,2488.9,1852.7,12,0.5,0.5,2,10,7.8667,53.0166,0.048467,0.038668,337,793.02,4.1e-06,-3.8967,0.002059
APOLLOTYRE-MAZDOCK,APOLLOTYRE,2277.3,1852.69,8,0.5,0.5,0,8,2.6125,53.0762,0.035485,0.033315,309,1222.47,1.43e-06,-3.0285,0.032313
ADANIPOWER-NEULANDLAB,NEULANDLAB,2397.0,1852.6,12,0.5833,0.5833,0,12,65.75,45.3667,0.049954,0.040273,280,1233.08,2.8e-06,-3.0336,0.031876
COROMANDEL-PIIND,PIIND,2787.9,1852.37,18,0.4444,0.4444,5,13,10.5333,51.9741,0.035806,0.027644,456,863.5,2.06e-06,-3.5907,0.005941
ABB-RVNL,ABB,2413.5,1852.34,11,0.6364,0.6364,0,11,33.4091,51.0144,0.048565,0.039216,207,1719.84,1.9e-06,-2.5864,0.095849
ELGIEQUIP-NATCOPHARM,NATCOPHARM,2326.95,1852.18,9,0.5556,0.5556,0,9,5.0556,52.7524,0.054605,0.044164,283,1481.21,2.79e-06,-2.7551,0.064979
ENDURANCE-THELEELA,THELEELA,2385.25,1852.17,10,0.5,0.5,2,8,2.035,53.3083,0.033297,0.023714,731,464.18,3.31e-06,-4.4409,0.000251
PVRINOX-THELEELA,PVRINOX,2592.45,1851.98,14,0.3571,0.3571,1,13,3.6321,52.8904,0.038473,0.030821,298,747.25,2.74e-06,-3.6249,0.005302
APTUS-TTML,APTUS,2598.06,1851.78,14,0.5714,0.5714,2,12,0.8057,53.3058,0.045444,0.03484,301,1128.85,2.53e-06,-3.1083,0.025943
BHARTIARTL-KAJARIACER,KAJARIACER,2430.4,1851.55,11,0.6364,0.6364,0,11,3.7909,52.6232,0.024541,0.0209,286,1199.89,7e-07,-3.0248,0.032641
INDUSTOWER-SBIN,SBIN,2435.1,1851.51,11,0.7273,0.6364,0,11,4.8091,53.0533,0.023577,0.01936,352,593.97,1.3e-06,-4.5093,0.000189
AUROPHARMA-THERMAX,THERMAX,2415.0,1851.47,11,0.5455,0.5455,1,10,16.9909,51.2302,0.024947,0.022083,278,615.81,1.4e-06,-4.4075,0.000288
MARICO-MUTHOOTFIN,MUTHOOTFIN,2360.7,1851.46,10,0.5,0.5,0,10,18.94,50.9236,0.027815,0.022389,310,1222.01,8.8e-07,-3.0944,0.026967
NEWGEN-TORNTPOWER,NEWGEN,2328.15,1851.45,9,0.5556,0.5556,0,9,2.8167,52.9662,0.085107,0.065274,318,2151.91,4.66e-06,-2.3275,0.163245
BEL-GODFRYPHLP,GODFRYPHLP,2371.3,1851.26,10,0.7,0.7,2,8,10.68,52.0036,0.028142,0.021746,359,802.21,1.37e-06,-3.7994,0.002913
ABCAPITAL-HDFCAMC,ABCAPITAL,2275.1,1851.26,8,0.625,0.625,1,7,1.8313,52.9803,0.023439,0.018101,529,588.16,1.29e-06,-4.3919,0.000307
PIDILITIND-VEDL,PIDILITIND,2326.8,1851.24,9,0.7778,0.7778,0,9,7.3667,52.8399,0.029393,0.023628,215,1246.45,9.6e-07,-2.9986,0.035028
FACT-TATACHEM,FACT,2327.1,1851.21,9,0.6667,0.4444,0,9,5.2444,52.8769,0.047412,0.037268,384,786.45,3.96e-06,-4.0302,0.00126
BBTC-FORTIS,BBTC,2271.7,1851.12,8,0.75,0.75,0,8,9.7875,52.572,0.027175,0.022427,683,571.62,1.79e-06,-4.1976,0.000665
BPCL-DRREDDY,BPCL,2330.25,1851.1,9,0.5556,0.5556,0,9,1.5111,53.2387,0.061233,0.045408,220,2114.1,2.46e-06,-2.3733,0.149419
ACUTAAS-KPITTECH,ACUTAAS,2372.5,1851.09,10,0.5,0.5,2,8,15.62,52.141,0.048938,0.043984,214,1041.19,3.19e-06,-3.4495,0.009384
BALRAMCHIN-SBICARD,BALRAMCHIN,2489.35,1850.6,12,0.6667,0.6667,0,12,2.1042,53.2295,0.035629,0.03057,353,862.98,2.04e-06,-3.5941,0.005874
BAJAJHFL-NCC,BAJAJHFL,2968.92,1850.55,21,0.6667,0.5714,3,18,0.2529,53.2555,0.01812,0.020157,299,436.64,1.04e-06,-4.7596,6.5e-05
GODIGIT-NCC,NCC,2330.67,1850.47,9,0.7778,0.6667,0,9,0.8144,53.3558,0.022906,0.018433,495,385.45,1.88e-06,-5.267,6e-06
AUBANK-PGEL,AUBANK,2274.1,1850.45,8,0.625,0.625,2,6,5.4375,52.9566,0.028329,0.020787,502,1018.29,1.09e-06,-3.3847,0.011492
CHOLAFIN-ETERNAL,CHOLAFIN,2327.3,1850.38,9,0.5556,0.5556,0,9,6.8111,52.9914,0.047017,0.037514,197,1728.67,1.77e-06,-2.6109,0.090768
BALKRISIND-GALLANTT,GALLANTT,2594.25,1850.31,14,0.4286,0.4286,1,13,1.9571,53.1389,0.040439,0.03317,157,718.54,3.15e-06,-3.9642,0.00161
SHYAMMETL-TATAPOWER,SHYAMMETL,2538.05,1850.23,13,0.5385,0.5385,0,13,3.1654,52.9093,0.039211,0.032413,306,1236.74,1.72e-06,-2.8621,0.049936
CEMPRO-MARICO,MARICO,2273.6,1850.21,8,0.75,0.75,0,8,4.6125,52.9238,0.073333,0.055396,417,1056.11,7.05e-06,-3.3389,0.013227
POLICYBZR-TARIL,TARIL,2329.25,1850.07,9,0.5556,0.5556,0,9,1.7056,53.2428,0.041473,0.031481,341,1359.97,1.75e-06,-2.9344,0.041495
CROMPTON-PARADEEP,PARADEEP,2224.09,1850.04,7,0.7143,0.7143,0,7,0.67,53.4355,0.051442,0.042114,109,1646.84,2.23e-06,-2.7282,0.069279
ADANIGREEN-JBMA,JBMA,2325.45,1850.01,9,0.4444,0.4444,0,9,4.1056,52.8265,0.063698,0.056206,145,1393.83,4.03e-06,-2.7413,0.067166
CUMMINSIND-MANAPPURAM,MANAPPURAM,2329.95,1849.96,9,0.7778,0.7778,0,9,1.3278,53.3326,0.044972,0.034015,346,1859.78,1.51e-06,-2.5258,0.109323
DATAPATTNS-MANKIND,DATAPATTNS,2369.9,1849.95,10,0.7,0.7,0,10,22.73,51.9949,0.059906,0.050422,239,1145.72,4.34e-06,-3.2493,0.017304
GROWW-OLAELEC,GROWW,2595.21,1849.86,14,0.3571,0.3571,0,14,0.6021,53.2395,0.051353,0.039148,241,1176.09,3.11e-06,-3.1766,0.021377
INDIGO-SRF,SRF,2057.3,1849.8,4,1.0,1.0,0,4,27.325,51.8751,0.042186,0.03492,165,1502.89,1.64e-06,-2.8195,0.055546
HINDZINC-HYUNDAI,HYUNDAI,2272.7,1849.79,8,0.75,0.75,0,8,11.2375,52.8636,0.06065,0.054041,120,1474.73,3.46e-06,-2.903,0.045001
BAJAJHFL-FORTIS,BAJAJHFL,2701.24,1849.77,16,0.6875,0.6875,1,15,0.3019,53.2166,0.022269,0.02218,267,637.9,1.08e-06,-4.1285,0.000869
BELRISE-LODHA,BELRISE,2276.12,1849.76,8,0.875,0.875,0,8,1.1338,53.2947,0.040559,0.032974,332,943.94,2.41e-06,-3.7219,0.003815
AFFLE-JYOTICNC,AFFLE,2268.4,1849.68,8,0.625,0.625,0,8,9.5,52.3405,0.047525,0.035761,336,1455.21,2.15e-06,-2.7375,0.06777
BSOFT-HONAUT,HONAUT,2240.0,1849.38,12,0.6667,0.6667,0,12,186.6667,32.5513,0.049192,0.038345,244,1076.48,3.11e-06,-3.1837,0.02095
MFSL-SHRIRAMFIN,MFSL,2378.5,1849.26,10,0.6,0.6,0,10,7.93,52.9239,0.028785,0.024886,213,909.51,1.26e-06,-3.3189,0.014055
ABSLAMC-BERGEPAINT,ABSLAMC,2321.85,1849.21,9,0.4444,0.3333,0,9,6.1056,52.5159,0.043273,0.035723,317,747.05,3.47e-06,-4.0024,0.001398
ENRIN-ULTRACEMCO,ENRIN,2419.2,1849.06,11,0.6364,0.6364,0,11,11.8636,51.8313,0.053423,0.046638,191,1110.8,3.56e-06,-3.2942,0.015139
BERGEPAINT-HDFCBANK,BERGEPAINT,2327.95,1849.0,9,0.4444,0.4444,0,9,2.2778,53.2164,0.045558,0.0366,291,1576.08,1.82e-06,-2.5991,0.093187
BHARATFORG-HDFCLIFE,HDFCLIFE,2380.3,1848.98,10,0.6,0.6,0,10,2.97,53.1317,0.050866,0.047101,259,1824.75,1.96e-06,-2.5276,0.10891
APTUS-NEULANDLAB,NEULANDLAB,2344.0,1848.9,11,0.7273,0.6364,0,11,76.3636,45.0093,0.049418,0.040155,349,1303.71,2.6e-06,-2.9031,0.044993
AARTIIND-COROMANDEL,COROMANDEL,2165.9,1848.86,6,0.5,0.5,1,5,17.0833,52.8399,0.069763,0.051083,268,1955.42,3.45e-06,-2.3835,0.146438
IDBI-PCBL,PCBL,2273.3,1848.79,8,0.625,0.625,0,8,1.5125,53.0637,0.067615,0.047417,278,1190.43,5.32e-06,-3.2179,0.018973
PRESTIGE-SUNTV,SUNTV,2327.55,1848.78,9,0.6667,0.6667,0,9,2.9056,53.1972,0.062353,0.052345,277,1919.04,2.81e-06,-2.5154,0.111781
ENDURANCE-ENRIN,ENDURANCE,2419.9,1848.67,11,0.7273,0.7273,0,11,9.7545,51.9297,0.039091,0.030401,349,1049.54,2.02e-06,-3.1035,0.026294
BAJAJHFL-TMCV,BAJAJHFL,2542.59,1848.61,13,0.6154,0.6154,1,12,0.3285,53.3831,0.031487,0.025138,249,1127.62,1.22e-06,-3.2485,0.017343
BLS-HUDCO,BLS,2380.25,1848.52,10,0.6,0.6,1,9,1.465,53.173,0.049827,0.039858,266,1163.05,2.96e-06,-3.1777,0.021312
CRAFTSMAN-TECHM,CRAFTSMAN,2356.0,1848.51,10,0.5,0.5,0,10,34.1,50.7486,0.054634,0.046506,162,1621.94,2.55e-06,-2.6108,0.090783
INDIGO-POONAWALLA,POONAWALLA,2379.45,1848.47,10,0.6,0.6,1,9,2.195,53.0981,0.036367,0.028581,307,1008.66,1.82e-06,-3.4647,0.008942
TATACOMM-UNOMINDA,TATACOMM,2268.5,1848.29,8,0.625,0.625,1,7,8.1375,52.5268,0.047487,0.03265,403,2506.88,1.25e-06,-1.4159,0.574621
ADANIENSOL-NIACL,NIACL,2543.01,1848.19,13,0.5385,0.5385,1,12,0.6,53.448,0.044576,0.038657,282,766.4,3.59e-06,-3.6343,0.005138
DCMSHRIRAM-INDIANB,DCMSHRIRAM,2269.4,1847.95,8,0.5,0.5,0,8,7.1,52.6808,0.05101,0.04274,233,1562.42,2.31e-06,-2.6032,0.092344
JSWENERGY-SBILIFE,JSWENERGY,2327.45,1847.87,9,0.4444,0.4444,1,8,2.4,53.2861,0.043178,0.03388,235,1240.27,2.08e-06,-3.0954,0.026897
LODHA-SCI,SCI,2273.01,1847.86,8,0.75,0.75,0,8,0.8225,53.1441,0.047148,0.043423,352,902.17,3.41e-06,-3.4991,0.008011
ACUTAAS-NUVAMA,ACUTAAS,2368.2,1847.53,10,0.4,0.4,1,9,12.63,52.0673,0.046597,0.051697,173,1044.67,2.88e-06,-3.4737,0.00869
ELECON-MFSL,MFSL,2267.7,1847.45,8,0.625,0.625,0,8,8.7,52.5315,0.087336,0.065192,352,2002.75,5.28e-06,-2.3724,0.149688
DRREDDY-PPLPHARMA,PPLPHARMA,2115.62,1847.41,5,0.4,0.4,0,5,1.182,53.6418,0.030668,0.024937,187,1369.09,9.5e-07,-2.9287,0.042114
ADANIGREEN-GRANULES,GRANULES,2270.45,1847.34,8,0.75,0.5,0,8,4.1437,52.8883,0.067745,0.055345,211,1319.95,4.82e-06,-2.8641,0.049682
BERGEPAINT-LAURUSLABS,BERGEPAINT,2432.75,1847.31,11,0.6364,0.6364,0,11,2.1455,53.2215,0.027971,0.026764,382,594.46,1.82e-06,-4.3096,0.000428
COROMANDEL-MPHASIS,COROMANDEL,2735.8,1846.99,17,0.6471,0.6471,3,14,6.3118,52.2828,0.029636,0.024063,470,630.96,1.93e-06,-4.081,0.001041
M&M-SBFC,SBFC,2380.2,1846.96,10,0.9,0.9,0,10,0.452,53.3239,0.029041,0.023732,323,740.87,1.58e-06,-3.8072,0.002835
ADANIENSOL-IRCON,IRCON,2379.89,1846.82,10,0.7,0.7,0,10,0.807,53.3069,0.045808,0.038119,328,1145.46,2.54e-06,-3.0444,0.030954
JMFINANCIL-TIINDIA,JMFINANCIL,2328.39,1846.81,9,0.7778,0.7778,0,9,0.63,53.5084,0.04558,0.038758,253,1125.7,2.56e-06,-3.2668,0.016427
CGCL-SJVN,CGCL,2431.73,1846.73,11,0.7273,0.7273,1,10,0.8627,53.1815,0.029628,0.023227,415,568.61,2.14e-06,-4.3328,0.00039
ITC-VMM,ITC,2219.65,1846.73,7,0.8571,0.7143,0,7,1.9143,53.2739,0.034115,0.023003,338,1099.99,1.47e-06,-3.2424,0.017657
OBEROIRLTY-UCOBANK,UCOBANK,2168.06,1846.71,6,0.6667,0.5,0,6,0.1917,53.5584,0.037377,0.026235,426,1010.52,1.92e-06,-2.9922,0.035625
MFSL-SUNPHARMA,SUNPHARMA,2584.7,1846.66,14,0.7143,0.7143,1,13,6.1143,52.7168,0.042698,0.032615,277,1678.66,1.5e-06,-2.5703,0.099302
APARINDS-DRREDDY,APARINDS,2133.0,1846.43,6,0.5,0.5,0,6,94.5833,47.7612,0.0657,0.053607,231,1305.31,4.58e-06,-3.0842,0.027743
LLOYDSME-SUZLON,LLOYDSME,2530.4,1846.39,13,0.6923,0.6154,0,13,5.4846,52.6161,0.043846,0.036158,372,1087.44,2.45e-06,-3.1184,0.025223
IRCTC-JSWENERGY,IRCTC,2163.55,1846.33,6,0.5,0.5,0,6,4.625,52.8706,0.037702,0.035205,271,1711.37,1.15e-06,-2.7016,0.073768
HONASA-MPHASIS,HONASA,2218.25,1846.29,7,0.5714,0.5714,0,7,2.1357,53.1377,0.043578,0.037911,316,757.75,3.47e-06,-3.8058,0.002848
ANANTRAJ-DLF,ANANTRAJ,2322.3,1846.22,9,0.5556,0.5556,0,9,2.4833,52.898,0.032868,0.026467,517,618.16,2.42e-06,-4.1218,0.000891
ATHERENERG-CROMPTON,ATHERENERG,2321.35,1846.2,9,0.5556,0.5556,0,9,4.1833,52.7946,0.05334,0.042852,294,1189.24,3.31e-06,-3.2962,0.015049
ASTERDM-NH,ASTERDM,2535.5,1846.16,13,0.5385,0.5385,1,12,2.7462,53.0265,0.035758,0.028239,490,753.37,2.35e-06,-3.7312,0.003695
M&M-NUVAMA,NUVAMA,2378.0,1846.1,10,0.5,0.5,1,9,5.54,53.1905,0.022916,0.019285,449,546.32,1.33e-06,-4.4843,0.00021
TENNIND-TTML,TTML,2327.48,1845.89,9,0.7778,0.7778,0,9,0.2222,53.5102,0.040915,0.036536,201,857.96,2.7e-06,-3.7005,0.004107
DALBHARAT-TBOTEK,DALBHARAT,2423.6,1845.87,11,0.6364,0.6364,0,11,8.3818,52.5211,0.02591,0.020547,385,473.62,1.96e-06,-5.0026,2.2e-05
EIHOTEL-FIVESTAR,EIHOTEL,2321.15,1845.78,9,0.5556,0.5556,0,9,1.9833,52.8194,0.036355,0.027202,355,732.59,2.5e-06,-3.8537,0.002403
ACC-ADANIGREEN,ACC,2424.5,1845.69,11,0.5455,0.5455,1,10,5.8273,52.6186,0.021674,0.021678,309,769.7,8.5e-07,-3.304,0.014702
SHYAMMETL-UNITDSPR,SHYAMMETL,2374.0,1845.68,10,0.5,0.5,0,10,4.06,52.8317,0.035236,0.029173,320,951.13,1.81e-06,-3.2345,0.018071
GVT&D-IRFC,GVT&D,2458.8,1845.67,12,0.5,0.5,1,11,17.6083,51.094,0.066113,0.053719,218,1599.51,3.79e-06,-2.7965,0.05877
STARHEALTH-UPL,STARHEALTH,2694.5,1845.53,16,0.5,0.5,0,16,1.9938,53.0606,0.028624,0.025298,291,639.57,1.77e-06,-4.2468,0.000548
PHOENIXLTD-RAINBOW,RAINBOW,2213.8,1845.52,7,0.5714,0.5714,1,6,8.2571,52.6115,0.033076,0.027746,332,674.22,2.25e-06,-3.972,0.001564
ASTERDM-CANBK,ASTERDM,2374.3,1845.1,10,0.5,0.5,1,9,3.07,52.9205,0.047987,0.039032,215,1538.56,2.07e-06,-2.6909,0.075622
NATCOPHARM-SHRIRAMFIN,NATCOPHARM,2267.6,1844.88,8,0.5,0.5,0,8,6.65,52.8396,0.049984,0.04305,245,1626.12,2.13e-06,-2.7053,0.073125
RITES-RPOWER,RITES,2536.15,1844.85,13,0.6154,0.6154,0,13,0.8015,53.177,0.024608,0.019529,623,558.12,1.5e-06,-4.3411,0.000377
GILLETTE-STARHEALTH,STARHEALTH,2377.2,1844.83,10,0.5,0.5,0,10,2.19,53.2372,0.024037,0.021606,288,472.52,1.69e-06,-4.6739,9.4e-05
ERIS-MPHASIS,MPHASIS,2362.7,1844.71,10,0.7,0.7,1,9,11.14,51.7987,0.033195,0.026344,327,720.05,2.12e-06,-3.7705,0.003223
ONESOURCE-SBILIFE,SBILIFE,2158.0,1844.61,6,0.8333,0.8333,0,6,14.6333,52.2317,0.099177,0.071779,307,1491.72,9.14e-06,-2.8741,0.048447
BIKAJI-INDIANB,INDIANB,2426.2,1844.59,11,0.7273,0.6364,0,11,3.9091,52.8737,0.031563,0.025967,303,880.53,1.57e-06,-3.5165,0.007573
ICICIPRULI-SWIGGY,ICICIPRULI,2428.25,1844.58,11,0.7273,0.7273,1,10,2.1727,53.0611,0.030697,0.028714,187,738.09,1.77e-06,-4.0278,0.001272
EIHOTEL-EMMVEE,EMMVEE,2271.21,1844.24,8,0.625,0.625,0,8,1.1,53.3707,0.036723,0.032644,282,688.48,2.71e-06,-3.9902,0.001463
SONATSOFTW-THELEELA,THELEELA,2588.85,1844.22,14,0.5714,0.5714,2,12,1.6321,53.1879,0.059069,0.050465,447,736.8,6.56e-06,-3.8475,0.002457
IIFL-LT,IIFL,2161.05,1844.15,6,0.5,0.5,0,6,3.6083,52.8173,0.063135,0.045747,296,1828.37,3.02e-06,-2.5505,0.103662
EIDPARRY-PINELABS,EIDPARRY,2531.9,1844.14,13,0.5385,0.5385,2,11,3.1077,52.9048,0.031829,0.026929,310,831.88,1.69e-06,-3.6254,0.005294
GLAXO-HBLENGINE,GLAXO,2463.2,1843.87,12,0.6667,0.6667,1,11,10.275,51.6108,0.03603,0.028396,338,1283.3,1.4e-06,-2.759,0.064378
ANANDRATHI-KPITTECH,ANANDRATHI,2511.3,1843.81,13,0.5385,0.5385,1,12,11.3462,51.3456,0.027583,0.02227,409,513.32,2.05e-06,-4.6679,9.7e-05
CAPLIPOINT-POLYMED,CAPLIPOINT,2372.8,1843.64,10,0.5,0.5,2,8,6.16,52.9161,0.042466,0.031416,301,1377.52,1.81e-06,-2.7001,0.074021
HINDZINC-MAHABANK,HINDZINC,2214.8,1843.63,7,0.7143,0.7143,0,7,4.1286,53.0239,0.048808,0.039772,225,996.45,3.31e-06,-3.617,0.005445
COROMANDEL-TEJASNET,COROMANDEL,2466.1,1843.5,12,0.5833,0.5,3,9,9.5417,51.8835,0.037785,0.029964,380,996.64,1.98e-06,-3.3568,0.012522
ABB-VMM,ABB,2403.5,1843.49,11,0.5455,0.5455,1,10,34.9545,50.91,0.053727,0.042899,195,1736.69,2.3e-06,-2.7108,0.072191
GODREJPROP-SAMMAANCAP,SAMMAANCAP,2217.0,1843.46,7,0.5714,0.5714,0,7,0.9657,53.3634,0.075406,0.061124,146,2087.02,3.78e-06,-2.3739,0.149225
