pair,num_chunks,hl_max,hl_medoid,hl_std
BSE-MCX,4,2056.52,1491.06,453.25
HCLTECH-WIPRO,4,2331.26,900.04,705.68
MAZDOCK-RVNL,4,1326.11,822.99,307.4
INOXWIND-SUZLON,4,1773.79,758.67,469.13
INOXWIND-IREDA,4,3999.45,1834.28,1396.17
HUDCO-IREDA,4,1699.61,747.02,467.68
PNB-SBIN,4,1250.91,518.2,362.0
COFORGE-INFY,4,3459.57,2305.12,1281.88
TECHM-WIPRO,4,1365.68,1320.68,509.23
MPHASIS-PERSISTENT,4,1383.57,536.72,428.56
IRFC-RAILTEL,4,613.53,274.09,173.56
SAIL-TATASTEEL,4,5490.64,708.15,2197.52
COFORGE-TECHM,4,4486.59,1117.16,1524.2
BAJAJFINSV-BAJFINANCE,4,1034.79,400.63,280.97
CDSL-IREDA,4,2215.64,876.4,707.74
ANGELONE-BSE,4,2405.11,1519.7,678.73
COFORGE-TCS,4,3334.53,1719.71,1061.53
BDL-DATAPATTNS,4,1590.11,1123.27,330.19
COCHINSHIP-DATAPATTNS,4,2320.78,859.61,673.35
BANKINDIA-SBIN,4,908.36,468.05,212.02
ADANIGREEN-ADANIPORTS,4,683.99,561.07,188.51
INOXWIND-NBCC,4,2986.72,528.81,1063.47
HEROMOTOCO-TVSMOTOR,4,2214.62,1014.48,696.31
IREDA-PFC,4,669.96,446.54,129.5
JINDALSTEL-JSWSTEEL,4,825.19,458.61,268.66
LODHA-PRESTIGE,4,979.34,360.84,280.59
JINDALSTEL-NMDC,4,3162.96,816.35,1010.72
IREDA-JIOFIN,4,1794.49,822.27,508.2
HINDCOPPER-HINDZINC,4,5236.98,1047.5,2025.6
IRCON-RITES,4,247.33,210.53,38.89
IRFC-MAZDOCK,4,3659.55,548.69,1367.57
IRCON-TITAGARH,4,2537.89,1081.47,916.0
HINDALCO-HINDZINC,4,3238.33,1387.82,1098.19
COFORGE-WIPRO,4,3099.59,1193.69,951.14
IRCON-IREDA,4,1735.3,420.13,568.94
IREDA-SUZLON,4,1792.39,603.2,521.93
ANGELONE-CDSL,4,5919.13,1215.34,2316.67
NATIONALUM-TATASTEEL,4,1554.41,895.46,352.9
CDSL-IRFC,4,1656.34,839.35,372.71
EICHERMOT-HEROMOTOCO,4,6280.79,1248.22,2367.86
HUDCO-NBCC,4,1303.97,737.44,450.13
OBEROIRLTY-PRESTIGE,4,29564.18,771.57,12481.44
NTPC-POWERGRID,4,6376.13,335.18,2650.9
COFORGE-HCLTECH,4,2999.32,999.88,1109.43
HUDCO-IRFC,4,1481.86,717.33,428.49
ADANIGREEN-ADANIPOWER,4,4606.95,2502.45,1391.61
BAJAJ-AUTO-HEROMOTOCO,4,4200.15,1248.37,1207.3
TATASTEEL-VEDL,4,3987.25,1357.76,1367.23
COFORGE-OFSS,4,3624.45,539.32,1360.86
SBIN-UNIONBANK,4,5028.15,1130.6,1878.02
MAZDOCK-NBCC,4,2500.87,873.82,705.1
COFORGE-LTM,4,2035.09,283.34,734.59
IREDA-MAZDOCK,4,1463.14,601.03,410.79
INOXWIND-IRFC,4,3951.76,787.57,1411.27
JWL-TITAGARH,4,667.9,360.13,177.12
BEML-COCHINSHIP,4,1655.36,479.94,578.43
PERSISTENT-TECHM,4,912.06,604.21,143.46
BEL-COCHINSHIP,4,2390.98,725.96,827.81
RVNL-TITAGARH,4,1880.15,381.47,723.75
IRFC-PFC,4,1471.94,462.52,424.68
JWL-RVNL,4,747.77,409.97,180.13
BEML-MAZDOCK,4,1992.26,1427.5,686.86
BDL-RVNL,4,1961.78,1578.76,745.32
NMDC-VEDL,4,1017.55,857.82,236.07
COCHINSHIP-HAL,4,2148.41,1032.54,659.69
BEML-GRSE,4,1192.74,537.36,329.71
IRFC-SUZLON,4,8442.75,1170.41,3139.92
NBCC-RECLTD,4,856.88,571.18,172.75
CDSL-NBCC,4,3181.18,482.66,1126.19
BAJAJ-AUTO-EICHERMOT,4,3029.17,756.23,1101.47
EICHERMOT-TVSMOTOR,4,938.07,542.19,202.28
MAZDOCK-SUZLON,4,2018.43,914.98,567.91
LODHA-OBEROIRLTY,4,2651.35,1100.81,811.64
JIOFIN-NBCC,4,1791.54,1016.21,537.93
M&M-MARUTI,4,785.72,657.14,139.93
JBMA-OLECTRA,4,1413.62,729.66,499.72
ADANIENT-AMBUJACEM,4,2648.93,1744.14,821.42
OFSS-PERSISTENT,4,1361.41,1090.12,349.76
PREMIERENE-WAAREEENER,4,793.94,449.98,190.14
NBCC-SUZLON,4,1526.05,1464.14,528.48
MPHASIS-TECHM,4,1899.3,605.6,549.71
MAZDOCK-SOLARINDS,4,1081.9,638.22,255.51
IRFC-JIOFIN,4,5571.56,1080.06,2065.44
HINDCOPPER-NATIONALUM,4,1958.15,1033.14,532.91
CDSL-JIOFIN,4,3334.64,1273.59,1183.64
IDEA-INDUSTOWER,4,1072.31,848.91,311.13
CANBK-RECLTD,4,1876.62,674.77,610.0
BDL-NBCC,4,4861.62,3173.18,1447.32
BEL-DATAPATTNS,4,1755.93,686.74,489.41
HINDZINC-NMDC,4,3436.9,1498.28,951.13
MPHASIS-OFSS,4,852.45,381.88,203.11
INFY-PERSISTENT,4,978.65,765.89,138.27
INOXWIND-RVNL,4,5175.36,2681.37,1789.43
JIOFIN-RECLTD,4,1553.94,1491.57,414.0
KPITTECH-TATAELXSI,4,1281.91,963.96,320.06
JWL-RAILTEL,4,643.14,259.97,171.57
PERSISTENT-TCS,4,2772.69,1185.21,862.87
RECLTD-RVNL,4,2355.46,1098.99,643.89
NMDC-SAIL,4,987.02,954.97,271.79
HINDALCO-NMDC,4,1082.85,780.93,150.56
KEI-POLYCAB,4,354.96,219.78,72.95
ADANIGREEN-TATAPOWER,4,15152.09,736.23,6158.51
HCLTECH-PERSISTENT,4,1858.15,461.11,618.77
BAJAJ-AUTO-TVSMOTOR,4,1931.97,439.62,711.96
COFORGE-TATAELXSI,4,3765.15,1976.32,1258.45
BDL-BEML,4,3138.28,1416.15,861.77
IRFC-TITAGARH,4,2419.08,827.9,828.31
INOXWIND-MAZDOCK,4,51969.7,1080.2,22102.0
OIL-ONGC,4,3344.4,1624.48,1216.73
HUDCO-RECLTD,4,1330.46,773.22,399.09
IRCON-NBCC,4,2111.92,1799.14,682.43
DLF-NBCC,4,1758.37,619.27,489.72
IRFC-JWL,4,795.94,527.36,203.71
CDSL-MCX,4,842.25,512.06,141.68
M&M-TVSMOTOR,4,1181.73,385.3,340.97
BDL-IREDA,4,1852.25,748.64,512.14
PERSISTENT-WIPRO,4,2299.15,773.46,671.29
EICHERMOT-MARUTI,4,9522.45,958.15,3856.0
MPHASIS-TCS,4,819.56,582.92,174.09
ACC-AMBUJACEM,4,912.87,182.91,340.89
DATAPATTNS-HAL,4,1301.05,647.3,337.6
COFORGE-KPITTECH,4,3647.45,1431.54,1043.63
LTM-PERSISTENT,4,7876.29,748.89,3147.41
IRCTC-IRFC,4,590.92,509.97,55.98
RECLTD-TATAPOWER,4,7801.35,1054.91,2925.01
DLF-PHOENIXLTD,4,1857.15,1024.53,654.73
RVNL-SUZLON,4,4585.68,2486.05,1594.26
EICHERMOT-M&M,4,8766.47,942.06,3460.61
DLF-IREDA,4,4051.69,1121.13,1343.67
ADANIENSOL-ADANIPOWER,4,2215.25,814.74,674.44
COCHINSHIP-RVNL,4,1726.86,755.08,448.56
GODREJPROP-PHOENIXLTD,4,3705.33,1778.6,1314.18
MOTHERSON-TMPV,4,638.35,483.97,133.81
ADANIENSOL-ADANIPORTS,4,3001.87,1307.67,1146.98
BDL-SOLARINDS,4,1494.6,470.1,431.55
IREDA-RAILTEL,4,1098.53,428.54,292.55
OFSS-TATAELXSI,4,1057.44,732.01,164.79
BEL-RVNL,4,1437.79,1060.9,330.58
JIOFIN-RVNL,4,1569.34,1329.77,411.41
JSWSTEEL-NMDC,4,1663.65,980.48,509.37
NHPC-TATAPOWER,4,3338.68,738.84,1269.19
HAL-RVNL,4,3084.19,938.33,963.79
LTM-MPHASIS,4,1490.31,206.18,555.91
HINDALCO-JSWSTEEL,4,2213.31,564.17,709.48
LTM-TECHM,4,3761.13,699.79,1350.95
GRSE-ZENTEC,4,1382.03,846.15,383.36
IREDA-TATAPOWER,4,1690.75,705.39,510.31
INFY-MPHASIS,4,841.17,317.65,226.16
MPHASIS-WIPRO,4,746.48,545.1,109.17
HDFCLIFE-SBILIFE,4,1019.96,631.95,205.34
CANBK-PFC,4,2676.75,778.46,841.28
HEROMOTOCO-M&M,4,2188.72,425.39,766.41
CAMS-CDSL,4,751.49,366.97,162.55
RITES-RVNL,4,524.97,306.73,141.89
KAYNES-PGEL,4,1241.95,1008.49,343.13
CDSL-RECLTD,4,869.29,822.12,144.95
BANKINDIA-CENTRALBK,4,1199.0,744.5,292.53
BAJAJ-AUTO-M&M,4,3849.78,1073.57,1341.31
PERSISTENT-TATAELXSI,4,2642.42,483.17,942.39
JSWENERGY-TATAPOWER,4,2844.96,881.57,1012.6
INDIANB-SBIN,4,2104.1,978.74,501.36
CDSL-MAZDOCK,4,2263.3,839.06,587.18
GAIL-IOC,4,2357.53,1042.56,776.56
BDL-IRFC,4,1102.69,424.26,335.45
BANKINDIA-RECLTD,4,4754.02,606.81,1815.79
BHEL-MAZDOCK,4,2713.98,1786.6,768.32
HINDZINC-TATASTEEL,4,2940.13,1799.31,824.5
CENTRALBK-MAHABANK,4,1058.56,454.04,342.92
GODREJPROP-NBCC,4,4280.82,2367.91,1489.43
PFC-TATAPOWER,4,15670.41,737.89,6487.4
M&M-TMPV,4,1140.49,639.15,308.69
HUDCO-RVNL,4,1605.82,1110.56,326.76
CENTRALBK-IOB,4,935.1,579.95,298.25
PNB-RECLTD,4,2842.37,1519.39,987.45
BANKINDIA-MAHABANK,4,2750.1,407.78,985.85
ABB-SIEMENS,4,3210.34,631.47,1141.06
IRCON-MAZDOCK,4,3514.9,1281.17,1289.9
ABCAPITAL-IREDA,4,683.0,629.56,51.58
CDSL-RVNL,4,1910.11,1028.23,419.88
CANBK-IREDA,4,2884.11,1337.29,854.12
HEROMOTOCO-MARUTI,4,1592.82,950.03,493.77
NBCC-PFC,4,836.6,823.71,102.3
CANBK-CENTRALBK,4,2203.24,497.13,733.27
HCLTECH-MPHASIS,4,528.43,287.95,151.41
CENTRALBK-PNB,4,69624.87,313.15,30036.08
BDL-SUZLON,4,3602.56,2041.61,888.65
JIOFIN-MAZDOCK,4,1524.42,1372.13,299.07
LTM-TCS,4,707.12,570.24,155.29
JINDALSTEL-NATIONALUM,4,1134.07,972.88,209.69
LTM-WIPRO,4,9628.99,503.29,3992.19
BANKINDIA-IREDA,4,7891.2,1120.41,3089.23
HDFCBANK-ICICIBANK,4,1293.92,654.04,377.66
IRFC-RITES,4,304.85,230.5,57.75
INFY-LTM,4,1091.3,706.76,243.81
BANKBARODA-RECLTD,4,3010.08,1461.4,1033.01
BEL-BHEL,4,2458.84,734.75,875.67
TATAELXSI-TATATECH,4,9403.06,295.54,3774.54
NTPC-TATAPOWER,4,7141.18,422.94,2916.19
BANKINDIA-RBLBANK,4,4653.53,749.44,1768.79
HCLTECH-LTM,4,689.37,432.77,144.99
OFSS-TECHM,4,1601.5,876.71,381.24
RAILTEL-RITES,4,241.55,122.05,57.44
JINDALSTEL-SAIL,4,766.81,651.93,131.98
BEML-DATAPATTNS,4,2225.66,450.11,750.79
DLF-IRFC,4,2688.53,412.4,967.8
OFSS-WIPRO,4,1669.63,789.55,412.59
ADANIGREEN-IREDA,4,6095.08,1459.08,2058.34
IREDA-SJVN,4,829.4,408.04,204.14
ETERNAL-SWIGGY,4,1024.19,546.74,238.41
DLF-RECLTD,4,3414.98,1069.82,1138.21
DLF-JIOFIN,4,876.28,746.66,261.53
INOXWIND-JIOFIN,4,2459.64,765.41,817.94
ADANIENSOL-TATAPOWER,4,3037.78,1096.16,867.69
INOXWIND-RECLTD,4,2803.48,2227.9,866.71
CENTRALBK-UCOBANK,4,1472.3,220.31,570.54
GAIL-TATAPOWER,4,1355.38,363.55,447.47
MPHASIS-TATAELXSI,4,528.03,503.55,44.45
MAZDOCK-ZENTEC,4,1371.68,931.53,322.8
IRCTC-IREDA,4,1371.21,1037.81,345.71
JIOFIN-SUZLON,4,1918.29,1107.56,518.73
BAJFINANCE-CHOLAFIN,4,2443.11,1246.79,816.53
TATAELXSI-WIPRO,4,6554.22,433.89,2592.05
BDL-INOXWIND,4,2956.71,1791.16,913.57
GODREJPROP-IREDA,4,9085.24,2977.23,3460.92
AMBER-DIXON,4,5281.4,3054.87,1678.35
GRSE-RVNL,4,1634.83,1013.74,365.49
TATAELXSI-TCS,4,6800.71,460.29,2643.26
ADANIENT-ADANIPOWER,4,2818.09,660.91,1115.41
COCHINSHIP-NBCC,4,3046.61,720.0,1018.6
IREDA-NHPC,4,689.28,388.55,128.15
HAL-NBCC,4,1986.69,1417.28,330.48
OFSS-TCS,4,1156.69,973.39,344.06
ADANIENT-JIOFIN,4,6674.11,1239.73,2496.21
JIOFIN-PFC,4,1620.02,1382.51,247.28
IREDA-TITAGARH,4,1334.38,697.83,370.79
KPITTECH-MPHASIS,4,924.65,478.12,187.01
ABCAPITAL-JIOFIN,4,705.74,675.04,124.4
CANBK-JIOFIN,4,1982.52,1220.19,428.62
KPITTECH-OFSS,4,1443.77,898.05,403.94
BANKINDIA-PFC,4,3513.4,762.69,1214.61
HINDALCO-JINDALSTEL,4,1728.38,501.38,549.82
BAJFINANCE-SHRIRAMFIN,4,1057.28,858.19,173.74
KPITTECH-PERSISTENT,4,1779.02,1142.53,430.84
BHEL-INOXWIND,4,4862.62,1436.63,1641.51
POWERGRID-TATAPOWER,4,797.78,274.08,256.66
MAHABANK-PNB,4,1272.59,737.78,228.13
ADANIPORTS-AMBUJACEM,4,1983.76,1505.09,668.51
TATAELXSI-TECHM,4,4198.54,872.06,1474.02
PFC-PNB,4,3279.33,923.0,1153.89
ADANIGREEN-NHPC,4,11417.96,2453.31,4132.09
NBCC-TATAPOWER,4,2563.33,989.14,771.04
CDSL-DLF,4,1399.16,781.95,269.9
IREDA-LICHSGFIN,4,1597.32,679.61,396.37
BANKBARODA-CENTRALBK,4,1278.83,803.82,359.42
BHEL-IREDA,4,2179.05,843.17,594.87
PNB-YESBANK,4,1290.46,598.02,383.04
INFY-OFSS,4,1041.27,639.24,328.07
MAZDOCK-TITAGARH,4,2491.49,839.33,814.66
PFC-RVNL,4,2513.44,486.51,865.93
HUDCO-PFC,4,1523.3,876.25,350.39
IREDA-PNB,4,906.96,728.0,164.12
ADANIGREEN-JSWENERGY,4,7486.41,3563.55,2695.31
DIXON-KAYNES,4,1427.22,622.02,384.66
CANBK-MAHABANK,4,1637.36,1033.06,358.07
ADANIENT-TATAPOWER,4,2689.63,763.9,963.72
GMRAIRPORT-IREDA,4,1614.27,689.58,446.23
ADANIENT-IREDA,4,3076.36,1160.32,862.06
BEL-NBCC,4,2117.55,1151.0,528.99
IRFC-TATAPOWER,4,5945.16,663.14,2303.21
CDSL-INOXWIND,4,3253.11,703.73,1135.77
BHEL-SUZLON,4,10478.27,730.07,4280.86
RECLTD-SUZLON,4,7531.36,1232.52,2933.48
RAILTEL-TITAGARH,4,728.07,181.05,230.76
IREDA-LTF,4,1037.63,789.51,203.22
MARUTI-TVSMOTOR,4,1123.76,761.82,300.0
HAL-SOLARINDS,4,1570.37,876.24,448.08
BANKINDIA-YESBANK,4,821.5,604.75,109.29
BHEL-NBCC,4,6332.14,771.6,2349.94
CDSL-KFINTECH,4,1591.63,566.46,440.67
CANBK-YESBANK,4,1422.92,1202.98,431.89
CENTRALBK-UNIONBANK,4,580.39,492.67,71.0
BAJAJ-AUTO-MARUTI,4,3571.59,1896.89,1169.26
MAHABANK-UNIONBANK,4,901.25,383.96,249.09
IOC-PETRONET,4,1335.83,811.16,311.15
COCHINSHIP-IREDA,4,1462.13,931.46,332.42
CANBK-RBLBANK,4,2295.46,1272.82,673.7
BDL-CDSL,4,5307.49,1580.13,1772.91
NBCC-RAILTEL,4,1006.49,469.19,285.98
LAURUSLABS-ZYDUSLIFE,4,1969.17,1217.85,354.01
JIOFIN-TATAPOWER,4,1655.89,866.01,523.7
ABCAPITAL-BANKINDIA,4,2580.23,541.5,900.06
DLF-RVNL,4,2674.09,896.49,859.46
RECLTD-UNIONBANK,4,1509.9,983.45,363.47
CGPOWER-NBCC,4,4013.24,693.94,1604.25
LTM-OFSS,4,1005.62,521.29,273.14
LUPIN-ZYDUSLIFE,4,669.48,384.42,180.12
IREDA-JWL,4,838.59,504.81,171.33
ADANIGREEN-ATGL,4,9229.4,4779.62,3082.2
HCLTECH-OFSS,4,1005.38,420.82,296.26
BDL-BHEL,4,2906.85,2061.74,719.04
ABCAPITAL-CANBK,4,911.83,513.27,192.53
IRFC-NHPC,4,1465.72,755.63,405.78
BSE-IREDA,4,3140.52,959.82,928.6
ABCAPITAL-RECLTD,4,600.63,546.81,75.04
JINDALSTEL-VEDL,4,3464.02,505.93,1233.86
PHOENIXLTD-PRESTIGE,4,1805.88,1155.69,555.89
COCHINSHIP-IRCON,4,914.03,824.42,264.73
CANBK-NBCC,4,2246.19,1178.78,563.75
BANKINDIA-NBCC,4,4462.89,1572.38,1499.18
CDSL-PFC,4,844.82,737.11,107.79
IRFC-SJVN,4,2031.92,268.04,753.73
LICHSGFIN-RECLTD,4,1219.31,1020.95,220.67
BANKINDIA-IRFC,4,2229.44,1082.97,633.62
CDSL-HUDCO,4,2543.84,1699.62,915.86
BEL-IRFC,4,1033.58,837.33,216.41
INOXWIND-IRCON,4,4866.21,440.56,1903.09
MANAPPURAM-MUTHOOTFIN,4,1046.31,980.25,197.78
ADANIGREEN-AMBUJACEM,4,2855.16,2619.94,1053.18
BANDHANBNK-BANKINDIA,4,2084.76,1297.83,609.9
BAJFINANCE-JIOFIN,4,3103.43,1236.06,955.83
MARUTI-TMPV,4,1035.21,703.1,247.26
COFORGE-TATATECH,4,3768.4,1862.42,1330.51
BANKINDIA-JIOFIN,4,1705.58,1249.0,280.59
JIOFIN-PNB,4,1780.64,1518.32,423.81
CGPOWER-HAL,4,1922.66,597.94,652.03
ADANIPORTS-JIOFIN,4,4016.11,1009.11,1333.31
LTF-SHRIRAMFIN,4,1028.47,425.8,266.97
ANGELONE-IREDA,4,2274.04,915.92,633.52
CONCOR-IREDA,4,1109.67,705.84,313.22
PNB-RBLBANK,4,3637.77,964.77,1227.28
MAZDOCK-RECLTD,4,1096.77,822.48,173.34
CGPOWER-RVNL,4,918.91,770.66,214.25
LTM-TATAELXSI,4,3188.5,327.19,1261.21
COCHINSHIP-ZENTEC,4,2324.63,665.97,728.38
BHARATFORG-MOTHERSON,4,1101.24,582.0,288.76
GLENMARK-LAURUSLABS,4,825.48,345.3,214.03
NBCC-TITAGARH,4,700.6,599.54,126.49
HEROMOTOCO-MOTHERSON,4,1881.49,948.95,596.13
JIOFIN-LTF,4,1628.69,931.81,457.65
INFY-TATAELXSI,4,876.64,576.76,152.38
AUROPHARMA-LUPIN,4,1275.87,983.64,279.27
BEL-SOLARINDS,4,483.08,323.14,124.57
LODHA-PHOENIXLTD,4,4506.75,550.69,1633.8
HINDCOPPER-VEDL,4,1554.01,1365.77,463.33
CGPOWER-MAZDOCK,4,2681.44,1014.58,901.1
JIOFIN-RELIANCE,4,1068.65,755.07,172.4
HAL-IREDA,4,1682.34,934.11,456.1
CDSL-TATAPOWER,4,1846.85,1027.15,404.42
IRCTC-RVNL,4,650.16,482.62,185.9
HEROMOTOCO-TMPV,4,2107.59,896.99,616.11
UNIONBANK-YESBANK,4,1306.5,931.24,351.6
CDSL-LTF,4,2712.71,1390.86,879.6
CHOLAFIN-SHRIRAMFIN,4,989.04,912.52,217.59
COCHINSHIP-IRFC,4,1179.46,823.24,339.14
BSE-JIOFIN,4,3198.06,1194.91,968.84
CDSL-SUZLON,4,4115.29,1126.14,1392.07
BANKBARODA-MAHABANK,4,2597.31,628.71,875.56
DLF-PFC,4,4156.52,1634.15,1421.9
CAMS-IREDA,4,1155.33,983.43,320.85
GLENMARK-ZYDUSLIFE,4,1227.1,624.73,297.71
BDL-ZENTEC,4,2943.31,1764.96,778.84
ABCAPITAL-CDSL,4,593.83,324.28,133.27
CDSL-HDFCAMC,4,2785.94,762.79,888.57
JIOFIN-TMPV,4,1441.97,1395.95,349.84
BHEL-RVNL,4,1202.96,1015.14,236.07
BDL-IRCON,4,1391.33,881.43,413.91
DIXON-KALYANKJIL,4,1313.74,1159.84,370.65
ADANIENT-NBCC,4,32665.75,683.02,13723.75
BANKINDIA-IDBI,4,1134.14,720.06,247.47
LTF-RECLTD,4,879.86,493.61,188.7
HUDCO-INOXWIND,4,1300.24,1119.1,327.66
BEML-IRCON,4,597.46,296.4,153.61
BANKINDIA-LTF,4,2178.14,1040.14,596.19
CANBK-IRFC,4,1637.43,650.18,431.1
IOB-MAHABANK,4,1877.95,218.71,704.09
IDFCFIRSTB-PNB,4,1343.36,815.6,365.84
BDL-JIOFIN,4,4784.87,3542.27,1564.61
CANBK-LTF,4,1323.8,721.8,297.1
HAL-IRFC,4,1604.93,717.78,474.87
HCLTECH-TATAELXSI,4,847.01,503.44,170.43
JSWENERGY-NHPC,4,1121.54,631.75,253.43
INDHOTEL-JIOFIN,4,946.57,600.62,275.12
BEL-JIOFIN,4,2342.62,1544.96,623.17
CANBK-IDFCFIRSTB,4,2400.91,486.54,823.48
ADANIENSOL-JSWENERGY,4,9903.54,1815.78,4118.02
AUROPHARMA-ZYDUSLIFE,4,1272.04,716.5,277.59
GRSE-NBCC,4,1564.54,1015.24,308.1
JWL-MAZDOCK,4,3608.64,506.85,1344.39
ABCAPITAL-PFC,4,958.78,571.95,190.91
BANKBARODA-PFC,4,4483.15,802.09,1615.11
JWL-RITES,4,592.74,393.78,173.17
KPITTECH-TCS,4,1414.08,1221.83,412.47
IREDA-JSWENERGY,4,787.52,780.63,147.4
DIVISLAB-LAURUSLABS,4,1978.22,498.37,634.95
GMRAIRPORT-NBCC,4,1917.09,450.33,677.99
JIOFIN-LT,4,1364.71,921.11,201.7
EXIDEIND-IREDA,4,1957.93,1187.8,402.24
GRSE-IRCON,4,1040.5,611.58,201.96
DLF-MAZDOCK,4,3105.92,794.81,1022.23
BHEL-IRFC,4,3504.49,1200.89,1072.97
CGPOWER-IREDA,4,3735.72,876.54,1231.3
GODREJPROP-IRFC,4,3737.68,2125.31,1411.99
ADANIPOWER-ATGL,4,4615.67,841.26,1712.36
INDHOTEL-IREDA,4,4067.14,876.07,1479.68
CANBK-FEDERALBNK,4,1373.26,1182.74,238.09
BIOCON-LAURUSLABS,4,2618.19,1073.61,917.86
EXIDEIND-NBCC,4,3220.22,1003.66,1079.1
GRSE-IRFC,4,1037.17,544.1,219.35
HINDZINC-JINDALSTEL,4,2749.33,926.68,885.07
AMBUJACEM-ULTRACEMCO,4,730.57,554.44,120.86
BANKBARODA-IREDA,4,5943.24,1739.66,2110.74
ADANIPORTS-GMRAIRPORT,4,1731.41,1587.01,634.05
LODHA-NBCC,4,3080.62,1729.92,1000.22
