symbol_a,symbol_b,best_z_entry,best_z_sl,best_hl_stop,gross_profit,trade_count,win_rate,lagger,exit_mr_count,exit_sl_count,exit_hl_count,exit_session_count,avg_points_profit,avg_points_loss
SBIN,UNIONBANK,2.0,0.0,True,19.5,2,0.5,a,1,0,1,0,33.299999999999955,-13.799999999999955
ANGELONE,CDSL,2.0,0.0,False,0.0,0,0.0,b,0,0,0,0,0.0,0.0
KAYNES,PGEL,2.0,0.0,False,0.0,0,0.0,a,0,0,0,0,0.0,0.0
BAJAJ-AUTO,EICHERMOT,2.0,0.0,False,0.0,0,0.0,a,0,0,0,0,0.0,0.0
IREDA,MAZDOCK,2.0,0.0,False,0.0,0,0.0,a,0,0,0,0,0.0,0.0
COCHINSHIP,HAL,2.0,0.0,False,0.0,0,0.0,a,0,0,0,0,0.0,0.0
PERSISTENT,TECHM,2.0,0.0,False,0.0,0,0.0,b,0,0,0,0,0.0,0.0
EICHERMOT,TVSMOTOR,2.0,0.0,False,61.19999999999982,1,1.0,b,1,0,0,0,61.19999999999982,0.0
INOXWIND,IRFC,2.0,0.0,False,0.0,0,0.0,a,0,0,0,0,0.0,0.0
ADANIENT,AMBUJACEM,2.0,0.0,False,0.0,0,0.0,b,0,0,0,0,0.0,0.0
HUDCO,IRFC,3.0,0.0,False,3.7399999999999807,4,0.5,a,4,0,0,0,2.6799999999999926,-0.8100000000000023
JWL,RVNL,2.0,0.0,False,0.0,0,0.0,a,0,0,0,0,0.0,0.0
JBMA,OLECTRA,2.0,0.0,False,0.0,0,0.0,b,0,0,0,0,0.0,0.0
IRFC,SUZLON,2.0,0.0,False,0.0,0,0.0,b,0,0,0,0,0.0,0.0
PREMIERENE,WAAREEENER,2.0,0.0,False,0.0,0,0.0,b,0,0,0,0,0.0,0.0
BDL,RVNL,2.5,0.0,False,66.60000000000014,15,0.6,a,15,0,0,0,12.755555555555576,-8.03333333333334
M&M,MARUTI,2.0,0.0,False,0.0,0,0.0,a,0,0,0,0,0.0,0.0
NBCC,RECLTD,2.0,0.0,False,0.0,0,0.0,b,0,0,0,0,0.0,0.0
HINDCOPPER,NATIONALUM,2.0,0.0,False,0.0,0,0.0,b,0,0,0,0,0.0,0.0
MAZDOCK,SUZLON,2.0,0.0,False,0.0,0,0.0,a,0,0,0,0,0.0,0.0
JIOFIN,NBCC,2.5,3.0,False,3.0500000000000114,6,0.8333333333333334,b,5,1,0,0,0.9120000000000005,-1.509999999999991
CDSL,NBCC,3.0,0.0,False,42.90000000000009,2,1.0,a,2,0,0,0,21.450000000000045,0.0
ACC,AMBUJACEM,2.0,0.0,False,0.0,0,0.0,b,0,0,0,0,0.0,0.0
NMDC,VEDL,2.0,0.0,False,0.0,0,0.0,a,0,0,0,0,0.0,0.0
RVNL,TITAGARH,2.0,0.0,False,0.0,0,0.0,b,0,0,0,0,0.0,0.0
NBCC,SUZLON,2.0,0.0,False,0.0,0,0.0,a,0,0,0,0,0.0,0.0
DIXON,KAYNES,2.0,0.0,False,0.0,0,0.0,b,0,0,0,0,0.0,0.0
IRFC,PFC,2.0,0.0,False,0.0,0,0.0,b,0,0,0,0,0.0,0.0
BAJAJ-AUTO,TVSMOTOR,2.0,0.0,False,0.0,0,0.0,a,0,0,0,0,0.0,0.0
JWL,RAILTEL,2.0,0.0,False,0.0,0,0.0,b,0,0,0,0,0.0,0.0
OFSS,PERSISTENT,2.0,0.0,False,0.0,0,0.0,a,0,0,0,0,0.0,0.0
OIL,ONGC,2.0,0.0,False,0.0,0,0.0,a,0,0,0,0,0.0,0.0
KEI,POLYCAB,2.0,0.0,False,0.0,0,0.0,a,0,0,0,0,0.0,0.0
LODHA,OBEROIRLTY,2.0,0.0,False,0.0,0,0.0,b,0,0,0,0,0.0,0.0
MPHASIS,TECHM,2.0,0.0,False,0.0,0,0.0,a,0,0,0,0,0.0,0.0
BEL,DATAPATTNS,2.0,0.0,False,0.0,0,0.0,b,0,0,0,0,0.0,0.0
HINDZINC,NMDC,2.0,0.0,False,0.0,0,0.0,b,0,0,0,0,0.0,0.0
