pair,ols_net_pnl,ols_trades,ols_win_rate,adf_stat,adf_pval
ANGELONE-BSE,-1924.1723200000179,23,0.4783,-2.3608,0.153097
COFORGE-TCS,-9624.059700000005,22,0.3182,-2.965,0.038296
BDL-DATAPATTNS,-9464.468700000021,17,0.4118,-2.7712,0.062506
COCHINSHIP-DATAPATTNS,3704.7626000000255,20,0.55,-3.4333,0.009876
BANKINDIA-SBIN,5674.130214999997,19,0.5789,-4.1055,0.000948
ADANIGREEN-ADANIPORTS,-10434.965599999996,19,0.3684,-3.7078,0.004005
INOXWIND-NBCC,-3474.658889999996,19,0.3684,-3.5498,0.006796
HEROMOTOCO-TVSMOTOR,5143.767499999996,18,0.5556,-4.6737,9.4e-05
IREDA-PFC,2849.70111499998,18,0.6111,-3.0176,0.033281
JINDALSTEL-JSWSTEEL,152.37160000000586,18,0.4444,-4.731,7.4e-05
LODHA-PRESTIGE,-1420.699775000021,17,0.5294,-3.4944,0.008132
JINDALSTEL-NMDC,2442.865450000023,15,0.5333,-2.6272,0.087498
IREDA-JIOFIN,-5912.938075000016,21,0.3333,-3.1325,0.024237
HINDCOPPER-HINDZINC,9065.92692499997,18,0.6111,-3.2319,0.018213
IRCON-RITES,5664.332260000028,23,0.5652,-6.1145,0.0
IRFC-MAZDOCK,1812.465184999979,17,0.6471,-3.2054,0.019676
IRCON-TITAGARH,3355.3039500000104,20,0.55,-2.6622,0.080818
HINDALCO-HINDZINC,-1656.6342750000313,18,0.3889,-3.7288,0.003726
COFORGE-WIPRO,-3214.852300000007,19,0.4737,-2.7945,0.059059
IRCON-IREDA,1943.4166749999786,14,0.5,-4.0754,0.001063
IREDA-SUZLON,4712.554520000011,18,0.7222,-3.9256,0.001854
ANGELONE-CDSL,-1972.1752300000062,18,0.5,-2.9433,0.040545
NATIONALUM-TATASTEEL,-4679.077025000015,20,0.45,-3.3385,0.013243
CDSL-IRFC,-3807.890649999992,25,0.44,-2.9183,0.043256
EICHERMOT-HEROMOTOCO,-3760.5467499999995,21,0.381,-2.3855,0.145882
HUDCO-NBCC,3273.7647899999993,28,0.5357,-2.7742,0.062057
OBEROIRLTY-PRESTIGE,-3318.5173999999997,24,0.4167,-2.7505,0.065707
NTPC-POWERGRID,6453.413875000009,21,0.7619,-3.633,0.005161
COFORGE-HCLTECH,2410.668950000021,21,0.6667,-3.1715,0.021695
HUDCO-IRFC,2865.303654999989,28,0.5,-3.0147,0.033548
ADANIGREEN-ADANIPOWER,-11665.08192500001,20,0.25,-2.562,0.101111
BAJAJ-AUTO-HEROMOTOCO,429.9440000000013,23,0.6087,-2.4995,0.115603
TATASTEEL-VEDL,-2288.2652800000033,24,0.5,-2.5747,0.098349
COFORGE-OFSS,-6889.957149999986,23,0.4348,-1.7349,0.413205
SBIN-UNIONBANK,-7902.228775000026,30,0.3,-1.8023,0.379339
MAZDOCK-NBCC,1958.291949999979,22,0.5909,-3.206,0.019638
COFORGE-LTM,-3914.165049999958,24,0.4167,-3.7026,0.004076
IREDA-MAZDOCK,-1053.7047100000073,14,0.5714,-3.2891,0.015374
INOXWIND-IRFC,7447.4114000000045,20,0.6,-3.2261,0.018522
JWL-TITAGARH,3593.6021900000014,13,0.7692,-3.8386,0.002536
BEML-COCHINSHIP,7325.215400000005,22,0.5909,-4.2504,0.000541
PERSISTENT-TECHM,-1777.6903999999904,17,0.3529,-3.5475,0.006849
BEL-COCHINSHIP,-334.94147500001236,15,0.4,-2.9052,0.04475
RVNL-TITAGARH,-1537.4608049999933,25,0.48,-2.1079,0.241337
IRFC-PFC,-454.655974999976,27,0.4444,-3.5092,0.007754
JWL-RVNL,-9306.651499999998,16,0.3125,-3.4843,0.008399
