pair,ols_net_pnl,ols_trades,ols_win_rate,eod_exits,mean_exits
PERSISTENT-TCS,3010.1760999999915,20,0.55,20,0
RECLTD-RVNL,-10217.421474999983,15,0.3333,15,0
NMDC-SAIL,311.6956300000129,14,0.5,14,0
HINDALCO-NMDC,-9497.385224999995,19,0.3158,19,0
KEI-POLYCAB,-8658.317099999964,19,0.2632,18,1
ADANIGREEN-TATAPOWER,-6123.729224999985,24,0.375,24,0
HCLTECH-PERSISTENT,-382.8746499999943,19,0.3684,19,0
BAJAJ-AUTO-TVSMOTOR,4412.796250000007,20,0.65,20,0
COFORGE-TATAELXSI,12724.101050000005,24,0.625,24,0
BDL-BEML,-5152.602550000009,13,0.3846,13,0
IRFC-TITAGARH,-1974.804969999981,19,0.4211,19,0
INOXWIND-MAZDOCK,784.765220000003,11,0.5455,11,0
OIL-ONGC,4386.5087500000045,18,0.5556,18,0
HUDCO-RECLTD,-7841.458615000018,21,0.4762,21,0
IRCON-NBCC,-7686.586715000003,28,0.3929,27,1
DLF-NBCC,-4436.320650000008,17,0.4118,17,0
IRFC-JWL,-8798.688964999998,22,0.3636,22,0
CDSL-MCX,-5345.764750000006,28,0.4286,28,0
M&M-TVSMOTOR,-1389.8088500000104,24,0.5,24,0
BDL-IREDA,-11282.664500000017,14,0.3571,14,0
PERSISTENT-WIPRO,457.44835000000603,17,0.5882,17,0
EICHERMOT-MARUTI,-1173.6607500000027,17,0.4706,16,1
MPHASIS-TCS,-1140.4876000000022,19,0.5263,19,0
ACC-AMBUJACEM,-1839.4569999999994,19,0.5789,19,0
DATAPATTNS-HAL,-727.4192000000185,17,0.5294,17,0
COFORGE-KPITTECH,11399.9133,18,0.6111,18,0
LTM-PERSISTENT,1365.472199999991,16,0.5625,16,0
IRCTC-IRFC,-717.2774000000027,5,0.6,5,0
RECLTD-TATAPOWER,-8004.125300000004,21,0.4286,21,0
DLF-PHOENIXLTD,3776.6500500000147,13,0.6154,13,0
RVNL-SUZLON,2488.1236749999807,24,0.4583,24,0
EICHERMOT-M&M,-4213.641750000001,18,0.3889,18,0
DLF-IREDA,-2602.166299999997,13,0.4615,13,0
ADANIENSOL-ADANIPOWER,-5319.954074999994,15,0.4,15,0
COCHINSHIP-RVNL,-13121.279600000003,18,0.3333,18,0
GODREJPROP-PHOENIXLTD,2428.9224500000073,12,0.5,12,0
MOTHERSON-TMPV,-3829.918280000011,21,0.4286,20,1
ADANIENSOL-ADANIPORTS,-8073.989499999989,25,0.44,25,0
BDL-SOLARINDS,-5894.290150000008,25,0.32,25,0
IREDA-RAILTEL,-1689.680005000011,16,0.4375,16,0
OFSS-TATAELXSI,-6657.748999999998,26,0.3077,25,1
BEL-RVNL,-4791.019324999995,20,0.45,20,0
JIOFIN-RVNL,2050.3983399999943,14,0.5,14,0
JSWSTEEL-NMDC,-888.8571499999834,13,0.3077,13,0
NHPC-TATAPOWER,-1171.775444999983,8,0.5,8,0
HAL-RVNL,-10046.505349999994,28,0.3571,28,0
LTM-MPHASIS,4739.997399999989,24,0.625,24,0
HINDALCO-JSWSTEEL,-489.37522500000523,23,0.5217,23,0
LTM-TECHM,2214.978850000005,16,0.5625,16,0
GRSE-ZENTEC,-14715.893900000021,21,0.4286,21,0
IREDA-TATAPOWER,-3210.9915300000066,15,0.2667,15,0
INFY-MPHASIS,-2946.744349999997,22,0.5,22,0
MPHASIS-WIPRO,5058.09364999999,18,0.6111,18,0
HDFCLIFE-SBILIFE,1118.5924250000098,17,0.5294,17,0
CANBK-PFC,2855.0921299999954,20,0.45,20,0
HEROMOTOCO-M&M,-3195.245749999998,6,0.3333,6,0
CAMS-CDSL,273.11492499999076,17,0.5882,17,0
RITES-RVNL,-12387.488325000004,20,0.15,20,0
KAYNES-PGEL,-8798.399349999996,22,0.5,22,0
CDSL-RECLTD,-4508.935399999997,11,0.3636,11,0
BANKINDIA-CENTRALBK,-5997.639520000006,9,0.4444,9,0
BAJAJ-AUTO-M&M,1393.1585000000068,19,0.5263,19,0
PERSISTENT-TATAELXSI,6485.439750000005,21,0.619,21,0
JSWENERGY-TATAPOWER,7946.88522499998,11,0.7273,11,0
INDIANB-SBIN,-1120.5378500000024,19,0.5263,19,0
CDSL-MAZDOCK,-3746.898549999979,10,0.5,10,0
GAIL-IOC,-1658.7778599999856,20,0.45,20,0
BDL-IRFC,-795.62255,23,0.6087,23,0
BANKINDIA-RECLTD,3050.4396450000004,18,0.6667,18,0
BHEL-MAZDOCK,-9293.049620000007,20,0.35,20,0
HINDZINC-TATASTEEL,-796.9241750000147,13,0.4615,13,0
CENTRALBK-MAHABANK,-363.7254200000061,20,0.4,20,0
GODREJPROP-NBCC,-9670.459600000007,21,0.381,21,0
PFC-TATAPOWER,-3059.10202499999,14,0.5,14,0
M&M-TMPV,-858.5678500000049,24,0.4583,24,0
HUDCO-RVNL,-6456.094570000016,21,0.3333,21,0
CENTRALBK-IOB,7517.356185000026,12,0.5833,12,0
PNB-RECLTD,-2652.9021000000203,25,0.44,25,0
BANKINDIA-MAHABANK,-3116.612005000019,21,0.5238,21,0
ABB-SIEMENS,-2867.79975,17,0.4706,17,0
IRCON-MAZDOCK,-7482.881484999998,15,0.4667,15,0
ABCAPITAL-IREDA,-5176.912525000004,14,0.4286,14,0
CDSL-RVNL,-5201.833499999987,17,0.3529,17,0
CANBK-IREDA,-7691.960849999996,14,0.3571,14,0
HEROMOTOCO-MARUTI,-484.6754999999994,13,0.2308,13,0
NBCC-PFC,-3565.5214750000305,19,0.5263,19,0
CANBK-CENTRALBK,-1201.2736100000184,10,0.4,10,0
HCLTECH-MPHASIS,-1130.7354500000092,23,0.4783,23,0
CENTRALBK-PNB,1372.9046600000183,18,0.5556,18,0
BDL-SUZLON,-10227.471900000019,11,0.1818,11,0
JIOFIN-MAZDOCK,-809.0720500000043,5,0.4,5,0
LTM-TCS,1971.8269999999939,22,0.5455,22,0
JINDALSTEL-NATIONALUM,-5097.562749999996,26,0.3846,26,0
LTM-WIPRO,3592.7905500000033,20,0.6,20,0
BANKINDIA-IREDA,-2583.646559999999,12,0.5,12,0
HDFCBANK-ICICIBANK,-3200.7847000000056,14,0.5,14,0
IRFC-RITES,-1482.936829999995,10,0.5,10,0
INFY-LTM,-3440.608800000008,14,0.5714,14,0
BANKBARODA-RECLTD,-6007.668545000002,20,0.45,19,1
