pair,ols_net_pnl,ols_trades,ols_win_rate,eod_exits,mean_exits
BEL-SOLARINDS,-4436.711799999999,31,0.4839,31,0
LODHA-PHOENIXLTD,8524.417875000014,14,0.6429,14,0
HINDCOPPER-VEDL,-5670.606024999981,13,0.3846,13,0
CGPOWER-MAZDOCK,289.2626249999812,18,0.5,18,0
JIOFIN-RELIANCE,-4660.4705549999835,17,0.3529,17,0
HAL-IREDA,-8419.157249999997,19,0.2105,19,0
CDSL-TATAPOWER,-3877.8298500000037,20,0.45,20,0
IRCTC-RVNL,-735.3232249999655,17,0.4118,17,0
HEROMOTOCO-TMPV,-2832.0887499999953,15,0.4667,15,0
UNIONBANK-YESBANK,-5699.280734999996,21,0.4286,21,0
CDSL-LTF,-7985.270250000007,15,0.2667,15,0
CHOLAFIN-SHRIRAMFIN,-451.75650000000496,16,0.5625,16,0
COCHINSHIP-IRFC,-1689.8233499999915,23,0.6087,23,0
BSE-JIOFIN,7429.280899999998,31,0.5484,31,0
CDSL-SUZLON,-2900.897299999998,11,0.2727,11,0
BANKBARODA-MAHABANK,-2494.7416650000405,29,0.5172,28,1
DLF-PFC,-6038.501674999977,17,0.4118,17,0
CAMS-IREDA,1843.2088499999827,20,0.5,20,0
GLENMARK-ZYDUSLIFE,3344.893499999993,17,0.5294,17,0
BDL-ZENTEC,-10112.80399999999,17,0.3529,17,0
ABCAPITAL-CDSL,-2862.871675000006,21,0.381,21,0
CDSL-HDFCAMC,-5127.012199999976,19,0.4211,19,0
JIOFIN-TMPV,-4904.125980000013,8,0.375,7,1
BHEL-RVNL,-10938.263454999993,17,0.2941,17,0
BDL-IRCON,-2027.730650000004,18,0.6111,18,0
DIXON-KALYANKJIL,-5570.269499999997,12,0.5,12,0
ADANIENT-NBCC,959.6200499999886,29,0.5172,29,0
BANKINDIA-IDBI,-4166.497845000021,7,0.5714,7,0
LTF-RECLTD,-1423.763375000006,19,0.5263,19,0
HUDCO-INOXWIND,-8867.86921,16,0.375,16,0
BEML-IRCON,-8228.066299999988,18,0.3333,18,0
BANKINDIA-LTF,-689.1307450000259,17,0.5294,17,0
CANBK-IRFC,-5586.760970000015,22,0.5,22,0
IOB-MAHABANK,-5083.495204999992,24,0.3333,24,0
IDFCFIRSTB-PNB,-5189.2513199999685,21,0.4762,21,0
BDL-JIOFIN,-9435.916950000012,19,0.4737,19,0
CANBK-LTF,-520.947530000014,12,0.5833,12,0
HAL-IRFC,-3614.487000000011,24,0.4167,24,0
HCLTECH-TATAELXSI,612.4043999999903,18,0.5,18,0
JSWENERGY-NHPC,308.70210000002953,21,0.3333,21,0
INDHOTEL-JIOFIN,-3195.1331749999736,23,0.5217,23,0
BEL-JIOFIN,-2509.223049999984,23,0.5652,23,0
CANBK-IDFCFIRSTB,-3384.2333750000107,20,0.4,20,0
ADANIENSOL-JSWENERGY,-4660.1276999999745,17,0.4118,17,0
AUROPHARMA-ZYDUSLIFE,-183.38459999998668,18,0.5,18,0
GRSE-NBCC,-11676.682400000016,23,0.4783,22,1
JWL-MAZDOCK,2747.1295999999857,13,0.5385,13,0
ABCAPITAL-PFC,-2940.9144500000057,22,0.4545,22,0
BANKBARODA-PFC,-3741.9859050000096,18,0.3889,18,0
JWL-RITES,4548.417474999995,9,0.6667,9,0
KPITTECH-TCS,6951.65337499998,13,0.7692,13,0
IREDA-JSWENERGY,-2841.072190000001,19,0.3684,19,0
DIVISLAB-LAURUSLABS,1441.923999999999,17,0.5294,17,0
GMRAIRPORT-NBCC,-2811.175574999981,26,0.6154,26,0
JIOFIN-LT,-2667.72736000001,19,0.3158,19,0
EXIDEIND-IREDA,-32.71080000002621,14,0.5714,14,0
GRSE-IRCON,-8970.479400000018,17,0.4706,17,0
DLF-MAZDOCK,-5364.924300000001,13,0.3846,13,0
BHEL-IRFC,-24448.04726999999,28,0.25,28,0
CGPOWER-IREDA,-854.3785750000097,16,0.375,16,0
GODREJPROP-IRFC,3642.6687500000007,11,0.7273,11,0
ADANIPOWER-ATGL,3272.7476250000364,30,0.4667,29,1
INDHOTEL-IREDA,-6026.190649999991,14,0.3571,14,0
CANBK-FEDERALBNK,-2725.1788449999895,24,0.375,24,0
BIOCON-LAURUSLABS,-5356.078450000005,14,0.4286,14,0
EXIDEIND-NBCC,-6835.718974999997,19,0.4211,19,0
GRSE-IRFC,-8720.042350000003,20,0.45,20,0
HINDZINC-JINDALSTEL,-2666.7210250000135,19,0.4211,19,0
AMBUJACEM-ULTRACEMCO,2297.770974999996,18,0.6111,18,0
BANKBARODA-IREDA,-4322.8044000000045,12,0.4167,12,0
ADANIPORTS-GMRAIRPORT,-2796.743900000006,27,0.4444,27,0
LODHA-NBCC,-7799.47722499999,14,0.2857,14,0
ABCAPITAL-IRFC,-336.51250000001346,22,0.4545,22,0
ABCAPITAL-PNB,-8017.716974999985,17,0.3529,17,0
