symbol_a,symbol_b,best_z_entry,best_z_sl,best_hl_stop,gross_profit,trade_count,win_rate,lagger,ou_sigma,ou_mu,exit_mr_count,exit_sl_count,exit_hl_count,exit_session_count,avg_points_profit,avg_points_loss
GODREJPROP,PRESTIGE,2.0,0.0,False,2946.5000000000036,855,0.7298245614035088,b,0.0012492643704918,-3.824310054198305e-06,809,0,0,46,6.120512820512819,-3.77792207792208
HINDALCO,VEDL,3.0,3.5,False,16.430000000000433,386,0.5155440414507773,b,0.0008946625135254,3.639612977606932e-06,177,205,0,4,0.6156783919597998,-0.5673262032085546
IRCON,JWL,2.0,0.0,False,258.41999999999996,289,0.9446366782006921,a,0.0013140209862719,-8.260442349225313e-08,286,0,0,3,0.9701465201465203,-0.4018750000000022
DLF,LODHA,2.0,0.0,False,1340.599999999999,662,0.6918429003021148,b,0.0010495223728985,-1.1456308610808109e-06,637,0,0,25,3.8150655021834043,-1.9936274509803895
TCS,TECHM,2.0,0.0,False,5612.000000000013,749,0.9506008010680908,a,0.0008556209664611,9.58452631690295e-07,702,0,0,47,8.13356741573035,-4.84054054054055
DATAPATTNS,MAZDOCK,2.0,0.0,False,3088.8,138,0.8913043478260869,a,0.0018792408297462,9.571228030374044e-08,137,0,0,1,26.704065040650406,-13.053333333333315
JBCHEPHARM,TORNTPHARM,2.0,0.0,False,731.5000000000005,110,0.9090909090909091,a,0.001007633762404,-4.1188495262630976e-08,108,0,0,2,7.706000000000004,-3.909999999999991
BANKBARODA,SBIN,2.0,15.0,False,341.8899999999992,863,0.6801853997682503,a,0.0010295293662541,-1.0798531195189848e-06,820,2,0,41,0.8735264054514477,-0.6190942028985523
HINDALCO,TATASTEEL,2.0,0.0,False,973.899999999999,811,0.6609124537607891,a,0.0011160611150274,2.241120571697046e-06,769,0,0,42,2.851305970149252,-2.016000000000002
INFY,TECHM,2.0,0.0,False,2245.000000000002,661,0.8320726172465961,a,0.0008618724975342,2.0832676329071023e-06,606,0,0,55,4.523272727272728,-2.187387387387379
GODREJPROP,LODHA,2.0,0.0,False,2045.8999999999996,825,0.7563636363636363,b,0.0013643688808256,-3.6008172229956723e-06,789,0,0,36,3.96786858974359,-2.1395522388059773
COFORGE,MPHASIS,2.0,0.0,False,4406.0999999999985,752,0.9414893617021277,a,0.0011869840684248,1.815854900325316e-06,706,0,0,46,6.448728813559323,-3.6272727272727305
GRSE,HAL,2.0,5.0,False,585.5000000000025,690,0.48985507246376814,a,0.0025846772897132,1.0500040860032485e-06,508,156,0,26,10.088461538461537,-8.023863636363629
ABCAPITAL,LTF,2.0,14.5,False,1216.0999999999972,940,0.95,a,0.0010982564399245,-1.435896964459552e-06,895,1,0,44,1.387122060470323,-0.4808510638297877
RAILTEL,RVNL,2.0,0.0,False,559.8999999999993,354,0.9011299435028248,a,0.0013338203334338,9.270593157753748e-07,342,0,0,12,1.8533542319749199,-0.8948571428571476
NATIONALUM,NMDC,2.0,0.0,False,82.92000000000003,654,0.6620795107033639,b,0.0013232717081037,6.623070382881555e-07,624,0,0,30,0.2837644341801383,-0.18076923076923013
DLF,OBEROIRLTY,2.0,4.0,False,75.99999999999932,62,0.5645161290322581,b,0.0011282881808872,-1.648593261309505e-07,58,1,0,3,5.171428571428578,-3.8888888888889226
GODREJPROP,OBEROIRLTY,2.0,0.0,False,3187.8000000000056,842,0.7458432304038005,a,0.0012179318184321,-4.7494037868213405e-06,797,0,0,45,6.619585987261155,-4.529439252336445
BSE,MCX,2.0,10.0,False,775.2999999999975,673,0.4918276374442793,b,0.001155149060303,6.76297935024036e-06,613,17,0,43,11.25287009063444,-8.623976608187142
HCLTECH,WIPRO,2.0,8.5,False,169.43000000000015,716,0.6508379888268156,b,0.0009049878790008,5.1714556952584775e-06,658,14,0,44,0.5536695278969964,-0.35432000000000075
INOXWIND,SUZLON,2.0,0.0,False,201.26000000000002,621,0.8518518518518519,a,0.0011862086574004,3.045076773249313e-07,603,0,0,18,0.4107372400756147,-0.17413043478260942
IRFC,RECLTD,2.0,0.0,False,681.800000000001,784,0.8214285714285714,b,0.0012204732249783,-4.865130311841469e-06,737,0,0,47,1.2083850931677027,-0.6885714285714276
IRFC,RAILTEL,2.0,0.0,False,147.28999999999994,566,0.7632508833922261,a,0.001090974630937,-1.0670869530311193e-06,550,0,0,16,0.40701388888888856,-0.21298507462686614
MAZDOCK,RVNL,2.0,0.0,False,3543.399999999998,295,0.9288135593220339,a,0.001178227921095,-4.87144472818126e-08,295,0,0,0,13.310948905109477,-4.942857142857086
INOXWIND,IREDA,2.0,0.0,False,141.56999999999977,720,0.6930555555555555,b,0.0012181578044338,-3.047264631399292e-07,700,0,0,20,0.3833266533066132,-0.22493212669683268
COFORGE,INFY,10.5,0.0,False,41.100000000000136,2,1.0,b,0.0010645156866636,9.472538592171884e-07,2,0,0,0,20.550000000000068,0.0
COFORGE,TCS,5.5,6.0,False,79.10000000000082,122,0.47540983606557374,b,0.0010956889825143,1.1774739146766355e-06,38,79,0,5,5.974137931034443,-4.178124999999952
TECHM,WIPRO,2.0,0.0,False,52.659999999999684,781,0.5262483994878361,b,0.0008359331736005,-6.283347207456317e-07,740,0,0,41,0.49841849148418427,-0.4113243243243245
MPHASIS,PERSISTENT,13.0,13.5,False,-218.09999999999945,14,0.35714285714285715,b,0.0014132802734694,8.759352989969022e-07,3,10,0,1,8.860000000000037,-29.155555555555516
